English Term,English Definition,IsiZulu Term,isiZulu Definition;
a-,,isiqalo sokuphika,;
ab-,,isiqalo esikhomba ukususa,;
abdomen,,inxasisu,;
abducent,,isiyaleliso/isiyalelihlo,;
aberrant,,isici,;
acetabulum,,isikhoxothebe (isikhoxo esisethebeni),;
achalasia,,ukungasebenzi kukavulavale,;
acinus,,ihlukuzo ,;
acoustic,,okuphathelene nokuzwa/okuphathelene nomsindo,;
acromion,,isicongo sehlombe ,;
ad-,,isiqalo esikhomba ukusondeza,;
adenoid,,indlala i-adenoyidi,;
adipose,,amatebhe/amanoni,;
aditus,,imbobo/ intuba,;
adrenal,,indlalanso,;
afferent,,isihambisi,;
ala,,okusaphiko ,;
alaeque ,,kanye; na-,
albicans,,umbala omhlophe ,;
albuginea,,okumhlophe,;
albicans,,okubamhlophe,;
algia,,isijobelelo esisho ubuhlungu ,;
allantois,, ithumbumbungwana,;
alveolus,,umgejana/umgojana,;
alveus,,umgede/umgodi,;
ambi-,,isiphongozo esisho macala womabili/ ndawozombili,;
ambiguus,,okumqondomningi/okumiqondomibili,;
ameloblast,,1. isingazinyo. 2. isandulelazinyo,;
amnion,,isembatho sombungu/ umhlapho,;
ampulla,,ukunwebeka okuwumpotsholo,;
amygdaloid,,okumise okwe-almondi,;
amylacea,,okuyisitashi,;
ana-,,isiqalo esisho ukucaza/ukwehlukanisa,;
anaesthesia,,ukubandikindiki/ukulaliswa kwemizwa,;
analogous,,okuhlobene/okuhambisanayo ,;
anastomosis,,inhlanganamithambo/inxumanamithambo,;
anatomy,,ukwehlukanisa  umumozinto wokuphilayo ,;
anconeus,,isicubundololwane/ i-anikhoniyasi,;
angina,,izinhlungunhliziyo esifubeni,;
annulus,,okusandilinga,;
ansa,,okusasibambo/okusankintsho,;
anserinus,, ihansi,;
ante-,,isiphongozo sokuqalisayo,;
anti,,isiphongozo sokungavumelani/sokungahambisani,;
antrum,,umhume/ingoxi,;
anus,,umdidi/ingquza/indunu,;
