English Terms;English Definition;IsiZulu Term;IsiZulu Definition 
abdominal;;okwenxasisu;
abducens nerve;;umuzwa weso;
abduction;;ukuqhelisa emgogodleni;
abductor;;isiqhelisi ;
abductor digiti minimi;;isiqhelisicikicane;
abductor hallucis;;isiqhelisiqukula/isiqhelisibhozo;
abductor pollicis brevis;;isiqhelisisithupha esifushane ;
abductor pollicis longus;;isiqhelisisithupha eside ;
abscess;;ithumba;
accelerator ;;isisheshisisi;
accessory nerve;;umuzwa i-asesori;
acous-;;okomsindo;
adduction;;ukusondeza emgogodleni;
adductor;;isisondelisi;
adductor hallucis;;isisondelisiqukula/isisondelisibhozo;
adductor longus;;isisondelisi eside ;
adductor magnus;;umsiphakazi osondezayo ;
adductor brevis;;isisondelisi esifushane;
adductor pollicis;; isisondelisisithupha;
agonist;;umsiphasinyakazisi ;
alveolus;;amahlukuzo;
amygdala;;ubuchophomizwelo;
an-;;okuntulekile;
anaesthesia;;imfamuzwa;
analgesia;;ubundikindiki;
aneurysm;;ukwandakuvuleka kwemithambo;
ani;;okwengquza/okomdidi/okwendunu;
ankle;;iqakala;
antagonist;;isinqandamnyakazo;
anterior;;okungaphambili;
anterior scalene ;;isikalini esingaphambili;
apex;;ingcongo;
appendices epiplocae;;amafutha kupopopo;
appendicular;;okuphathelene nawogalo;
aqueous humor;;okusamanzi okuphambili neso;
arch of aorta;;igobela lomthambo omkhulu ;
arm;;ingalo;
arthro-;;okuphathelene  namalunga;
articularis;;okwelunga;
articularis genu;; i-athikhularisi jenu;
aryepiglottic;;umsipha i-ariphiglothikhi;
arytenoid ;;umsipha i-arithenoydi;
ascending aorta;;umthambo omkhulu onyukelayo;
auditory;;okokuzwa;
auriculae;;okwendlebe;
auricularis anterior;;umsipha wendlebe ophambili ;
auricularis posterior;;umsipha wendlebe osemuva  ;
auricularis superior;;umsipha wendlebe ophezulu  ;
axial;;okohlakamaphakathi;
axillary;;okwekhwapha;
axillary nerve;;umuzwa wekhwapha;
back;;umhlane;
ball and socket joint;;ilunga eliyingoxinguqu;
biceps;;umsipha ozigaxambili;
biceps brachii;;usigaxambili wengalo/inkonyane;
biceps femoris;;usigaxambili wethanga;
bicuspid/mitral valve;;uvulavale ontunjambili;
bifurcation;;inhlukana kabili/ibhaxa ;
biliary;;okwenyongo;
body;;umzimba ;
body of sternum;;ingaphakathi likangiklane;
