English Term,English Definition,IsiZulu Term,IsiZulu Definition
adobe,,udaka lobumba,
architrave,,umhlobisonsika,
attic,,igumbimkhathi,
band,,isithungo,
barge,,isikhocosendlu,
basement,,igumbi elingaphansi lesakhiwo / igumbi elingaphansi lendlu,
batten,,ithandela /ibhathini ,
bay window,,iwindi eliphumela ngaphandle/ifastela eliphumela ngaphandle/ iwindiqhunsu/ifastelaqhunsu,
beam,,umshayo,
belfry,,umbhoshongo wensimbi yesonto,
bell cast roof,,uphahla oluwumumonsimbi,
bell-gable,,igebuli/igebula elilengisa insimbi,
binder,,isibopho,
block,,ibhloki,
1. blockhouse,,1 inqatshana,
2 blockhouse,,2. indlu yebhloki,
bow window,,iwindi/ ifastela eliphumela ngaphandle/ iwindiqhunsu/ ifastelaqhunsu,
bracket,,isisekeli,
brick,,isitini,
bullnose sheeting.,,uthayelampheme ogotshiwe,
butt,,1.isidunu sesithungo 2. isihloko sesithungo,
butt hinge,,ibhathi-hinji,
came,,umthofisinamathelisi/ikhemi,
cape dutch architecture,,indlela yokwakha ngokwamadashi asekoloni,
casement window,,iwindi/ifastela elivulekele eceleni,
centre post,,insika,
chimney,,ushimula,
chimney breast,,ingaphakathishimula,
chimney pot,,ibhodwe likashimula,
chimney stack,,ingaphandleshimula,
cill,,isivimbamanzi,
cob,,udaka lobumba,
cob-wall,,udonga lobumba,
compass window,,iwindi/ifastela eliphumela ngaphandle / iwindiqhunsu/ifastelaqhunsu,
complex truss,,amakabha ankimbinkimbi/ uhlaka lophahla olunkimbinkimbi,
compound,,1.inkompolo 2. inxuluma/umuzi,
concave sheeting,,uthayelamazombezombe,
cone on cylinder,,urawondi/ urondo,
coping,,isichithamanzi sophahla,
corbel,,umgaxo /umkhaxeko,
corbeled stone hut,,indlu yomgaxo / indlu yomkhaxeko,
cornice,,ikhonisi/umdiyo ophezulu,
corrugated iron sheeting,,ukufulela ngothayela,
corrugated/ironic style,,ukwakha ngothayela/ ukwakha igogogo,
course,,ukwendlala,
crest,,ingcongo,
cross collar,,impambanamshayo,
curvilinear,,igebuli/igebula elimazombezombe,
daka,,udaka,
dome-on-cylinder,,isiqongo esiyindingilizi sikarawondi/sikarondo,
domestic unit,,umuzi/indlu,
dormer window,,iwindi/ifastela legumbimkhathi,
double pile house,,izakhiwo ezixhumene,
drip,,isedlulisamaconsi,
drostdy,,idrosti,
dwelling,,indawo yokuhlala,
dwelling unit,,indlu yokuhlala,
eaves,,undi lophahla,
edwardian architecture,,indlela yokwakha ngokwesikhathi sikaedward,
egg house,,indlu emise okweqanda,
encaustic tiles,,amathayili ahlotshisiwe,
english settler architecture,,indlela yokwakha ngokwamangisi,
escutcheon,,isikashini,
extended homestead,,imizi yozalo,
extrados,,ingaphandle legobela ,
eyebrow dormer,,iwindi/ifastela onqenqemeni lophahla ,
fanlight,,isidlulisakukhanya esiphuzu komnyango,
