English Term;English Definition;IsiZulu Term;IsiZulu Definition
abiogenesis;;imvelakuphila/ingqalakuphila;
ablation ;;1.       ususosicubu  2.       ukususa (ngokunquma/ngokuhwaya/ngokuhwamukisa);
acid rain;;imvulasimuncwana/imvula ene-esidi;
acidic soil;;inhlabathi enesimuncwana/inhlabathi ene-esidi;
adaptability;;ukumelana/ukubhekana/ukuvumelana (nezimo);
adaptation;;ukuvumelanisa nesimo;
adaptedness;;ukuchuma/ukukhula;
afforestation;;ukutshalwa/ukuqalwa kwamahlathi;
agricultural biodiversity;;inhlukanondalo yezolimo;
agro forestry;;ezolimo namahlathi;
air pollution;;ukungcola/ukunukubezeka komoya;
air quality;;izingabunjalo lomoya;
alkalinity;;ubuduma/ubu-alkhalayini;
alien species;;isimilakufika/uhlobo lokufika ;
alien invasive species;;isimilakufika esingumaqonela/uhlobo lokufika olungumaqonela;
algae;;ulwele/i-algi;
allele;;i-alele;
ancestor;;ukhokho/inzalatho;
animal migration;;ufuduko lwezilwane;
animal right;;ilungelo lezilwane;
aquaculture;;ezolimo zasemanzini;
aquatic ecosystem;;uhlelompilo lwasemanzini;
area of low pest prevalence;;indawo enezilokozane ezihluphayo ezimbalwa;
arson;;ukushisa ngobugebengu/okunobugebengu;
artificial introduction of species;;ukungeniswa/ukufakwa kohlobo ngabantu;
back mutation;;impindelakuqaleni/ukuguqukela endalweni;
back cross;;ingxubehlobo/ibhastela;
back shore;;usebemkapakelwa;
back swamp;;ifenyaxhaphozi/ifenyasidaka ;
bio;;okuphilayo;
bioaccumulation;;ukunqwabelana kokuphilayo;
bioacoustics;;okwemisindo yokuphilayo;
bioactive;;okunomthelela kokuphilayo;
bioastronautics;;impiliswano emkhathini;
bioassay;;ukuhlola izingampilo ;
biocenosis;;ukuphilisana/impiliswano ko/yokwehlukene endaweni;
biodegradation;;ukukhumuzeka/ukugaywa ngokwemvelo;
biodiversity;;impiliswanomvelo/ibhayodayivesithi;
biodiversification;;ukusatshalaliswa kwempiliswanomvelo;
bioenergy;;amandla okuphilayo;
biolisticsm;;ukufakwa kolibofuzo;
biological control;;ukulawula ngokwemvelo ;
biological control agent;;isilawuli semvelo;
biocontrol species;;uhlobomvelo olulawulayo;
biological diversity;;ukwehlukahlukana kokuphilayo ;
biologics;;okuphathelene nokuphilayo;
biology;;isifundo ngokuphilayo/ibhayoloji;
biomass;;isibalo sokuphilayo endaweni;
biome;;ibhayomi;
biopesticide;;isibulalazikhathazi/isibulalaluhlupho ngokwemvelo;
biopharmaceutical;;okomuthi wemvelo;
bioplast;;ibhayoplasti;
bioprocess;;ukukhiqiza ngokuphilayo ;
bioprocessing;;ukukhiqiza ngokusebenzisa okuphilayo;
bioreactor;;isiqukathi sokukhiqiza okwemvelo;
bioregion;;indawo enokuphila ;
bioremediation;;ukulungisa imvelo;
biosafety;;ukuvikeleka/ukuphepha kokuphilayo;
biosensor technology;;ubuchwepheshe obuyinhlonzakuphila/obuyizwakuphila ;
biosphere;;indawokuphila/ibhayosifiye;
biosynthesis;;isakhiwamakhemikhali ngokuphilayo;
biota;;okuphilayo/ibhayotha;
biotechnology;;ubuchwepheshe ngempilo;
biotic;;okuphilayo;
biotope;;indawokufana ;
bottom communities;;okuphila phansi (ehlathini/emanzini/enhlabathini);
breed;; 1. uhlobo  2. -zalanisa ;
browse;;ukunqampuna ;
bryophyte;;ulwembusimila ;
buffer zone;;indawomngcele;
buzz pollination;;ukusatshalaliswa kwempova ngokubhuza ;
coastal environment:;;indawo engasolwandle ;
cambium;;ikhambiyamu;
carbon dioxide;;isikhutha;
carbon sequestration;;ukususwa kwesikhutha  emkhathini;
carnivore;;idlanyama ;
