English Term;English Definition;IsiZulu Term;IsiZulu Definition
access-point ;;intubakuxhumana;
account ;;i-akhawunti;
adapter;;isengezokuxhumana/ i-adaptha;
algorithm;;uchungekwenza;
amplifier;;isandisi;
argument;;imininingongqangi;
array;;amagunjana;
attachment (email);;isinamathiselo;
back to menu;;buyela kumenyu;
backbone;;umgogodla;
bandwidth;;ubungakomthamo;
bit;;isimelilwazi esincane/ibhithi;
boot;;1.      ukulungela ukusebenza/ukubhutha 2.      ukulungisela ukusebenza/ukubhutha;
bridge;;ibhriji/ibhuloho;
broadcast (v);;ukusakaza;
browser;;isiphequluli;
bus;;isihambisilwazi/ibhasi;
byte;;isimelilwazi/ibhayithi;
cable;;ikhebuli;
cancel (button);;khansela (inkinobho);
cellphone ;;umakhalekhukhwini/iselula;
cellphone/mobile;;umakhalekhukhwini/iselula;
cellular network;;uhleloxhumano ngobuselula;
channel;;umgudukusakaza/ishaneli;
class;;uhlobo/isigaba;
client;;ikilayenti;
comment;;ukuphawula;
computer;;ikhompiyutha;
cpu;;ingqondomshini/i-cpu;
cryptography;;isifundo semvikelalwazi;
cyberspace;;utwamkhathi;
data;;imininingo;
database;;inqolobanemininingo;
decoder;;isiguquli/idikhoda;
desktop (computer);;ikhompiyutha yasetafuleni;
digital (adj);;okwedijithali;
directory;;inkombamininingwane;
drive;;isigcinalwazi;
driver;;ivumakwenzeke;
e-mail (n);;iposinyazi/i-imeyili ;
encapsulation;;ukucashisa;
exception;;okwehlukile;
field;;isikhala;
flowchart;;umdwebomfanekiso;
formal parameter list;;uhlu lwemibandela ngqo yokwenza;
garbage;;uvucu/udoti;
gigabyte;;ibhiliyoni lezimelilwazi/igigabhayithi;
grammar;;uhlelo lolimi;
graphical user interface;;inkundla enemifanekiso;
hard drive;;isigcinalwazi esibambekayo;
hardware;;izingxenyezakhi zekhompiyutha;
homepage;;ikhasikhaya;
html;;i-html;
information;;ulwazi;
infrastructure;;ingqalasizinda;
inheritance;;umfuziselo;
initialize;;qalisa;
input (n);;imininingokufakwa /ulwazikufakwa;
install;;faka;
internet;;uhleloxhumano lomhlaba/i-inthanethi;
internet layer;;isigaba sohleloxhumano lomhlaba/i-inthanethi;
internet protocol;;imithethomgomo yohleloxhumano lomhlaba/ imithetho ye-inthanethi;
intranet;;uhleloxhumano lwangaphakathi/i-inthranethi;
ip suite;;iqoqo lemithetho yohleloxhumano lomhlaba/ iqoqo lemithetho ye-inthanethi;
keyboard;;uqwembezinkinobho/ikhibhodi;
kilobyte;;inkulungwane yezimelilwazi;
knowledge ;;ukwazi/umqondompe;
laptop;;isibekwamathangeni/ilephuthophu;
local area network;;uhleloxhumano lwendawo;
log off;;phuma/suka;
logic;;ukucabanga okuhlelekile/ilojikhi;
login;;ngena;
log out;;phuma/suka;
megabyte;;isigidi sezimelilwazi/imegabhayithi;
member;;ilungu;
memory;;ingcinalwazi;
method;;indlelakwenza;
microphone;;isiguqulimsindo;
mobile phone / cellphone;;umakhalekhukhwini/iselula;
modem;;imodemu;
monitor;;ubuso bekhompiyutha/imonitha  ;
mouse;;igundane ;
multimedia;;ingxubexhumano;
network (n);;uhleloxhumano;
object ;;utho/intothile;
object oriented programming;;ukwakha uhlelo okweyame entwenithile;
online (adj);;ngokohleloxhumano;
open source software;;uhlelokusebenza oluvulelekile;
operating system;;uhlelokusebenza;
overloading;;ndlelaningi/ndlelahluka ;
overriding;;ukuguqula umfuziselo;
pass-by-reference;;ukudlulisa ngekheli;
pass-by-value;;ukudlulisa ngqo;
password;;1.      igamamfihlo/iphasiwedi 2.      umfihlwana;
pc;;ikhompiyutha;
peripheral device;;isixhunywa;
polymorphism;;ubunhloboningi/ubusimoningi;
portal;;intuba ;
preferences;;okukhethwayo;
printer;;iphrinta;
program;;uhlelo;
programming language;;ulimi lokwakha uhlelo;
proxy;;igunyakungena;
ram;; ingcinalwazi engenwa ngokungahlelekile/i-ram;
reboot;;1. ukulungela ukusebenza kabusha/ukubhutha kabusha 2. ukulungisela ukusebenza kabusha/ukubhutha kabusha;
reference;;ikhelimniningo;
rom;;ingcinalwazi efundwayo kuphela / i-rom;
runtime-error;;incezukokusebenza;
satellite;;isiphakalwazimkhathi/isathelayithi;
satellite dish;;indishi yesiphakalwazimkhathi;
save (button);;londoloza (inkinobho);
scope;;umklamo;
search;;cinga/thungatha/hlwaya;
search engine;;injini yokucinga/injini yokuthungatha/ yokuhlwaya;
sender;;umthumeli;
server;; iseva ;
settings ;;amasethingi;
shutdown;;cisha;
signal;;inzwambiko/isigineli;
signal distribution;;ukusakazwa /ukusatshalaliswa kwenzwambiko;
smart card;;ikhadimniningo;
sms;;uhlelombiko olufinyeziwe/umqhafazo/i-sms;
software;;uhlelokusebenza;
sound card;;ikhadimsindo ;
speaker;;isikhiphamsindo;
spyware;;uhlelonhloli;
start;;qalisa;
sub-array;;ingxenye kamagunjana;
system software;;uhlelokusebenza oluwubuxhakaxhaka;
table (arith);;ithebula;
tele-medicine;;export to nursing;
tool;;ithuluzi;
transmit;;dlulisa;
troubleshooting;;ukuthungatha inkinga ;
usb;;isedlulisimininingo jikelele/ i-usb;
username;;igama lomsebenzisi;
virtual;;isingamfanekiso ;
virus;;uhlelomagciwane/ivayirasi;
web page;;ikhasi lesizindalwazi;
webmaster;;umlawuli wesizindalwazi;
website;;isizindalwazi ;
website address;;ikhelisizindalwazi;
wide area network;;uhleloxhumano olusabalele;
wireless;;inxumanomoyeni;
wireless application protocol;;imithethomgomo yenxumanomoyeni/i-wap;
world wide web;;isizindalwazi sokuxhumana somhlaba jikelele;
worm;;uhlelomagciwane oluziphindaphindayo/isihlava;
