English Term;English Definition;IsiZulu Term;IsiZulu Definition
abatement;;ukunciphisa ukungcola;
acute exposure;;ukubekeka esimeni esiyingozi /ukuba sesimweni esiyingozi/ukuvuleleka esimeni esiyingozi;
agroecosystem;;uhlelolimongxube/uhlelolimo lokuphilayo nokungaphili;
air pollution;;ukunukubezeka komoya/ ukungcola komoya;
air quality;;izingabunjalo lomoya /izingakungcoliseka komoya/izingakuhlanzeka komoya;
air sparging;;ukufinineka /ukumfimfa komoya;
air stripping;;isikhipha/isisusamakhemikhali ngomoya*;
allele or allel;;i-alele;
allee effect;;umfuziselo ;
alternative energy sources;;eminye imithombo yamandla;
altruism or selflessness;;unakekelo lokuphilayo ;
ambient;;indawo ekuzungezile /ukuba sendaweni;
aqueous cleaning system;;uhlelokuhlanza ngokusaluketshezi;
arable land;;umhlaba olinywayo/ongalimeka;
autofluorescens;;imvezamibala;
bedrock;;idwalamsuka;
beeswax;;ingcina/umovu;
benthic;;impilamanzini;
behavior or behaviour;;ukuziphatha;
bioaccumulation;;ukwanda kobuthi ezicutshini;
bioavailability;;inkathikugcineka komuthi emzimbeni;
biodegradable waste;;imfucuza/udoti/izibi okubolayo;
bioenergy;;amandla akhiqizwa okuphilayo ;
biological farming/ecological farming;;ukulima okunezikhuthazi zemvelo;
bioremediation ;;ukushabalaliswa kwezingcolisi yizilwanyana;
biota;;okuphilayo;
blind;;isicashisi/ubunwabukugqoka;
bog;;ifenya;
borehole;;amanzi adonswa phansi/ipitsi;
brackish;;amanzingxube (anosawoti nangenasawoti);
brood;;ukufukamela amachwane;
brown rot;;imbolisa/imbozisa/isenzambola;
canopy;;esicongweni/kwelenyoni/ikhanophi;
carbon adsorption ;;umadlula kukhabhoni;
carbon count;;imbalasikhutha/isilinganisosikhutha/isikhuthabungako;
carbon credit;;isehlisasikhutha;
carbon emissions;;inkafulwasikhutha;
carbon footprint ;;umthelelasikhutha /umthelela wesikhutha;
carbon offset;;isinxephezelo ngokukhafulwa kwesikhutha/isinxephezelo ngenkafulwasikhutha;
carbon neutral;;isilinganisasimo sesikhutha ;
carbon tax;;intela yesikhutha;
carbonize;;ukwakheka kwesikhutha;
carcinogen  ;;isibangamdlavuza;
carrion;;imbondela yokufileyo;
carrying capacity;;umthamokumumatha;
cast;;ukukhipha okungagayiwe;
catch basin or catch-basin;;1.       isimukelamifudlana/isingenisamifudlana  2.       isamukelakungcola;
cavity;;imbobo/isikhoxe;
chronic exposure;;ukuba sengcupheni yokuyisimbelambela  ;
civic amenity site;;indawo yokulahla udoti;
