English Terms;English Definition;IsiZulu Term;IsiZulu Definition 
abandonment;;ukulahlwa/ukuyeka/ukudela;
absolute certainty;;isiqiniseko esingephikiswe;
accelerant;;isikhuthazimlilo;
accused ;;umsolwa;
action research;;ucwaningo oluyinkombandlela;
accuracy;;ukunemba;
acetone;;isibhebhezelimlilo/i-asethoni;
active crime scene;;indawosigameko esenobufakazi;
administrative documentation;;imininingwane eqoshiwe/ngokuqoshiwe;
admission;;ukuvuma;
aetiology;;isifundosisusa;
alibi;;isifakazo ngesingabumsulwa/ i-alabhayi;
aggravated assault;;ukushaya ngesihluku/ukuhlasela;
aggravated assault;;ukushaya ngesihluku/ukuhlasela ngesikhali;
aggravated assault (usually a felony);;ukushaya ngesihluku iziphathimandla ;
battering;;ukuxhifa/ukubhonya/ukuphihliza;
algor mortis;;ukuqandisa isidumbu;
analyst;;umhlaziyi/umcubunguli;
analytical data;;imininingo yokuhlaziywayo/yokucutshungulwayo;
analytical procedure;;inqubokuhlaziya/inqubokucubungula;
ante mortem;;imbangelakufa;
arranged crime scene;;indawo yesigameko ehleliwe;
arrest;;ukubopha;
arson;;icala lokushisa;
asphyxiation;;ukuncisha umoyampilo;
asphyxiation;;ukuphelelwa umoyampilo;
assault;;ukuhlasela/ ukulimaza;
assessment;;ukuhlola;
atavism;;ukufuza okhokho;
back spatter;;amachaphazelo kumenzi;
ballistics;;ezontwezo/ibhalistikhi;
battered-woman syndrome;;ingxubezimpawu yowesifazane oshaywayo;
battery;;ukushaya ngesihluku;
behavioral evidence;;ubufakazi bendlelakuziphatha;
behaviourism;;injulalwazi/ithiyori yendlela yokuziphatha;
behaviour modification ;;ukulungisakuziphatha;
bigamy;;inganakabili/inganwakabili;
bile;;inyongo;
biological theories of criminology;;izinjulalwazi ngesifundo sezofuzo;
biology;;isifundo ngezokuphilayo;
biology, genetics, and evolution;;okuphilayo, ufuzo nokusunguleka;
blind or double-blind sample technique;;isu lamasampula afihlwe ngokuphindiwe ;
blind reporting;;ukubika  ngokungazidaluli;
blood borne pathogens;;izidalizifo ezisegazini;
bloodstain;;ibala legazi;
calibration;;ikhalibhreshini;
capital punishment;;isigwebo sentambo;
carjacking;;ukuduna imoto;
carceral society ;;amakholelwakuboshweni;
case file;;ifayela lecala;
case file review;;ukubuyekezwa kwefayela lecala;
case management;;ukuphathwa kwecala;
case record;;okubhaliwe/okuqoshiwe ngecala;
cause of death;;imbangela yokufa;
cerebral edema;;ukugcwala kwamanzi engqondweni;
certificate of analysis;;isitifiketi socubungulo/sohlaziyo;
certified reference material;;izinkomba ezigunyaziwe/eziqinisekisiwe/imithombo eqinisekisiwe/egunyaziwe;
chain of custody;;uhlukulandelana lwabaphathe ubufakazi ;
chain of evidence;;umlando wobufakazi;
chemicals & toxic substance list;;uhlu lobuthi nokungamakhemikhali;
child molestation;;ukuhlukumeza izingane ngokocansi;
chromatogram;;umphumela wekhromathografi;
chromatography ;;indlelakuhlukanisa/ ikhromathografi ;
chromosome;;isithwalilibofuzo/ikhromozomu;
codis;;ikhodisi;
codis administrator;;osebenza ngekhodisi;
cognitive interview;;isukukhumbuza ngemibuzo ;
cold crime scene;;indawo yesigameko ephazanyisiwe;
commercial robbery;;ukuphanga endaweni yezohwebo;
competency test;;isivivinyo sekhono lokwenza;
computer crime;;ubugebengu ngekhompiyutha  /kwezamakhompiyutha;
confession;;ukuvuma/ ukugonyuluka;
confidence game;;ukulutha;
congenital anomaly;;ukukhubazeka ozalwe nakho;
conscious mind;;umqondo osebenza kahle;
contact wound;;inxeba lesikhali;
containment theory;;injulalwazikunqanda;
continuing education courses;;izifundo zokuthuthukisa ulwazi/  ukuqhuba izifundo;
control;;ukuqinisekisa;
controlled substance;;imithi elawulwa uhulumeni;
coroner;;umhlolizidumbu;
corporate crime;;ubugebengu babamabhizinisini ;
corpus delicti;;ubufakazi obuphathekayo ;
correctional psychology;;isifundongqondo sohlelokuhlumelelisa ;
corroborating evidence;;ubufakazi obesekayo;
crime;;ubugebengu;
crime count;;inani lobugebengu;
crime flux;;izinga lokwehla nokwenyuka kobugebengu;
crime frequency;;izikhawukulandelana zobugebengu;
crime market;;imakethe yempahla yobugebengu;
crime of passion;;ubugebengu obuvukuzwa yisikhwele  ;
crime rate;;izingabungako lobugebengu;
crime scene;;indawo yesigameko;
crime statistics;;uhlaziyozibalo lobugebengu;
crime victimization surveys;;ukuhlola ukugileka ngobugebengu;
crime/forensic laboratory;;ilebhu yezobugebengu/ ilebhu yophenyonzulu yezobugebengu;
crimes of obedience;;ubugebengu ngokuhlonipha imiyalelo;
criminal intent;;inhloso yokugebenga;
criminal investigation;;ukuphenya ngobugebengu;
criminal statute;;imithetho yezobugebengu;
criminality;;isimobugebengu/isimobulelesi;
criminaloid;;isigebengu sesikhashana/ukuhungekela ebugebengwini okwesikhashana;
criminologist;;ungoti wesayensi yezobugebengu;
criminology;;isayensi yezobugebengu;
criterion;;isimisokwenza;
cultural criminology;;isifundo sobugebengu ngokosikompilo/ isifundo sobugebengu ngokwesijwayezi;
culture conflict;;ukungqubuzana/ ukuphikisana/ ukushayisana kwesejwayezi/ kwesikompilo;
curtilage;;igceke/ibala lomnikazi;
custodial arrest;;ukuvalelwa esitokisini;
custodial interrogation;;ukuphekwa/ukugwexwa ngemibuzo esitokisini;
cybercop;;umphenyi  ngezobuchwepheshe ;
cybercrime;;ubugebengu kwezokuxhumana ngobuchwepheshe;
cybercrime;;ubugebengu ngamakhompiyutha;
danger;;ingozi;
dangerous drug;;isidakamizwa esinobungozi;
database;;isizindamininingo;
database sample;;isampula lesizindamininingo;
defendant;;ummangalelwa;
deficiency;;ukungapheleli/ukungeneli;
delinquency;;ubuhlongandlebe;
delta (fingerprint pattern);;usabalalomanyela lweminwe;
deoxyribonucleic acid (DNA);;ulibofuzo;
desirable;;okulangazelelekayo;
detection limit;;izingakutholakala;
differential association;;ukuthelelana ngobugebengu;
discipline;;umkhakha;
discrepancy;;ukungahambisani;
disorderly conduct;;ukungaziphathi ngendlela/ukuziphatha budlabha;
diversion strategy;;isukuphambukisa;
domestic violence;;indluzula yesakhaya/ yasendlini/ yosondelene naye/udlame lwasekhaya/ lwasendlini/ losendelene naye;
driving under the influence;;ukushayela udakiwe;
drug abuse violations;;ukwephula imithetho yemithi;
drug chemistry section;;uphiko lokucutshungulwa kwemithi;
drug standards inventory;;uhlumininingwane  lwamazingaqophelo obudakamizwa ;
drug-defined crimes;;amacala aqondene nezidakamizwa ;
drug-related crimes;;amacala ahlobene nezidakamizwa;
drunkenness;;ubudakwa;
elder abuse;;ukuhlukunyezwa kwabadala;
electrophoresis;;i-elekhtroforesisi;
elements of a crime;;iminxa yecala;
ethnography;;ukuchazwa kwezizwe/ i-etinografi;
embezzlement;;ukukhwabanisa;
empathy;;umzwelo;
enforcement;;ukulandelelwa komthetho;
environmental criminology;;isifundo sobugebengu ngokwendawo;
equivocal death;;imbangelakufa engahlonzekanga;
error rate;;isilinganisozinga samaphutha;
essential;;okudingekayo/ okusemqoka;
evidence;;ubufakazi;
evidence inventory;;uhlumininingwane lobufakazi ;
evidence submission form;;ifomu lokuletha ubufakazi;
evidence transfer;;ukwedluliswa kobufakazi/ ukwedlulisela ubufakazi;
evidence vault(s);;indawokazi evikelekile yokugcina ubufakazi/ivolthi yobufakazi;
examinations (evidential);;ukuhlola (ubufakazi);
examinations (training);;ukuhlola (ukuqeqesha);
exception;;okuhlukile;
exceptional force;;amandla angavamile;
exclusionary rule;;umthetho wokuchithwa kobufakazi;
exhibitionist;;imvezazitho/ umvezazitho zangasese;
exploitation;;ukuxhaphaza;
exsanguination;;ukopha uze ufe/ ukophafe;
external proficiency test;;isivivinyo sekhono sangaphandle;
false negative;;ukungaveli kokukhona;
