abrasion;;ukuhhudleka;
abscess ;;ithumba;
abutment;;isisekelimazinyo;
acid etching  ;;ukuvula imigojana nge-esidi;
acute ;;isigubhukane;
acute apical abscess;;ithumbamsuka eliyisigubhukane ;
acute periradicular abscess;;ithumba elizungezile eliyisigubhukane;
adhesion ;;unamathelo;
adhesive ;;okunamathelisayo;
adjunctive treatment;;ukwelapha okwengezayo;
aetiology ;;imbangelasifo;
ala ;;iphikokhala;
allergy;;isihlungu;
alloy ;;inhlanganisela;
alveolar bone;;ithambo lomsukazinyo;
alveolar mucosa ;;untwentwesi lwensini;
alveolar process ;;unqenqemathambo lwamazinyo ;
amalgam ;;umthofu;
anaerobic bacteria  ;;ibhakthiriya engawudingi umoyampilo;
anaesthesia ;;ulalisomizwa;
anatomical crown ;;isicongozinyo;
anomaly ;;okungajwayelekile;
anterior teeth;;amazinyo angaphambili;
antibiotic ;;isinqindamandla samagciwane;
apex ;;isiphethompande sezinyo;
apical ;;okwesiphethompande sezinyo;
apicectomy ;;ukususa isiphethompande sezinyo;
arch ;;umhlathi ;
artificial crown  ;;isicongo sokufakelwa/ikhrawni yokufakelwa;
attached gingiva;;insini enamathele ;
attrition ;;ukukhumuzeka ;
autoclave ;;isiqukathisisi sokubulala amagciwane;
avulsion  ;;ukuphuma kwezinyo ngokulimala;
baby bottle tooth decay   ;;ukubola kwabathakathi ;
benign  ;;isimila esingenabungozi;
bicuspid ;;ibamba elincane;
bifurcated ;;izinyo elimsukambili;
bilateral  ;;okunxambili;
biopsy ;;ukususa ingxenyesicubu ;
bitewing radiograph  ;;isithombemazinyo ngokuluma;
bleaching  ;;ukwenza mhlophe;
bonding ;;uhlanganiso;
bone;;ithambo;
bone resorption ;;ukudleka kwethambo ;
braces ;;isibophikuqondisa samazinyo;
bruxism ;;ukugedla amazinyo;
buccal  ;;okwesihlathi;
bulla ;;ipatshaza;
calculus  ;;uqweqwekungcola lwamazinyo;
canal ;;umgudu;
mandibular canal  Subsection of canal;;;
canine;;izinyo lenja;
carious lesion;;inkombakubola yezinyo;
cavity;;imbobo;
cavity liner ;;isivikelimongo ;
cell;;inhlayiya;
cement base ;;isisekelo esiwusimende;
cementum  ;;isembozomsuka ;
cemento-enamel junction (cej);; inhlanganazembozo ;
cephalometric image ;;isithombe sobungakokhanda;
chronic ;;okuyisimbelambela/okungamahlalakhona;
chronic periapical abscess;;ithumba lesiphethomsuka eliyisimbelambela ;
chronic periradicular abscess;;ithumba elizungezile eliyisimbelambela ;
cingulum ;;iqhutshana lezinyo;
cleaning the cavity ;;ukuhlanza imbobo ;
cleft palate;;umfantulwanga ;
clenching  ;;ukuqinisa imhlathi;
clinical crown ;;isicongo semvelo/ikhrawni yemvelo;
clinical examination;;ukuhlola okujwayelekile;
coalesce ;;ukulumbanisa;
community dental health ;;ezempilomazinyo emphakathini;
complete denture  ;;amazinyo okufakelwa aphelele;
compliance ;;ukuthobela ;
composite  ;;okungxubeningi ;
confidentiality;;ubumfihlo ;
consent ;;imvume;
contouring ;;imbuyiselasimweni;
core build-up  ;;ukulungiselela isicongo sokufakelwa/ukulungiselela ikhrawni yokufakelwa;
;;;
coronal;;okwesicongo/okwekhrawni;
cracked tooth syndrome;;ingxubezinhlungu yezinyo eliqhekekile/ingxubezinhlungu yezinyo elivavekile;
cross bite;;ukugejana kwamazinyo;
crown and bridge;;ukuvala isisini;
curettage  ;;ukuhlanza okujulile;
;;;
cusp  ;;iqhutshana lebamba;
cuspid  ;;izinyo lenja;
cyst  ;;isigaxa;
odontogenic cyst ;;isigaxa esisezinyweni;
periapical cyst;;isigaxa esizungeze umsuka;
debridement ;;ukususwa koqweqwe;
decay;;ukubola ;
deciduous teeth;;abathakathi;
demineralisation ;;ukuphela kwamaminerali ;
dental caries ;;ukubola kwezinyo;
