English Terms,English Definition,IsiZulu Term,IsiZulu Definition 
accelerated depreciation,,ukwehla ngamandla kwentengonani,
acceptor,,umvumisikweletu,
accident insurance,,umshuwalense wokulimala,
added value,,intengonani eyengeziwe,
agent,,ummeleli (i-ejenti),
allocation,,ukwabiwa,
allocative efficiency,,incophelelokwaba,
annuity period,,isikhathi senkokhelo somhlalaphansi,
anticipated interest,,inzalomali  elindelekile,
auction market,,imakethendali yokuncintisana,
average,,isilinganisonani,
average fixed cost(AFC),,isilinganisonani sezindleko ezimile/ezingaguquki/ezingagudluki,
average product,,isilinganisonani somkhiqizo,
average total cost,,isilinganisonani sesamba sezindleko,
average variable cost,,isilinganisonani sezindleko eziguquguqukayo,
balance of payments,,iqoqakuqoshwa kwezinkokhelo,
bank guaranteed cheque,,isheke eligunyazwe ibhange,
basing-point system,,uhlelo lokuthengisa ngenani elifanayo,
bilateral monopoly,,igunyakwenza elinhlangothimbili,
bill of exchange,,umyalelokukhokha ongenambandela,
blank endorsement,,ukusayina isheke elingenamininingwane,
bonds,,isivumelwano sobolekomali/amabhondi,
boom,,isicongokuchuma komnotho/incumamnotho,
boot money,,isengezosinxephezelo/isengezosishwelezo,
boycott,,ukuduba,
brand,,igama lomkhiqizo/uphawu lomkhiqizo,
broker,,umxhumanisikuhweba,
budget,,isabelomali,
budget deficit,, ukweqa kusabelomali,
bulk discount,,isaphulelo esikhulu,
business,,ibhizinisi,
business agent,,ummeleli webhizinisi,
business ethics,,inkambiso eyamukelekile yebhizinisi,
buy,,Okuthengiwe,
buyer,,umthengi,
buyer’s market,,imakethe yabathengi,
buying power,,amandla emali/okuthenga,
capital,,ingqalabhizinisi,
capital gain,,inzuzo yentengonani,
capital good,,impahla yokukhiqiza/impahla yokusebenza,
capitalism,,ubungxowankulu/uhlobo lohwebo oluvulelekile,
capitalist,,ungxiwankulu,
ceiling price,,inani eliwumkhawulo,
clearing house,,isikhungo esigunyaza izinkokhelo,
collective bargaining,,uhlelo lokuxoxisana/lokubonisana,
communism,,ubukhomanisi / uhlobo lohwebo oluvalelekile,
commodity,,impahla/umkhiqizo,
consumer,,umsebenzisi,
consumer credit,,isikweletu,
consumer equilibrium,,ukugculiseka komsebenzisi,
consumer good,,impahla yokusetshenziswa,
consumption,,ukusetshenziswa kwempahla,
contract,,isivumelwano/inkontileka,
corporation,,ibhizinisi /inkampani esemthethweni/ukopeletsheni,
cost of production,,izindleko zokukhiqiza,
current transfer,,imihlomulo kahulumeni,
debenture,,isitifiketi sesikweletu/isiqinisekiso sesikweletu,
deficit,,imali eshodayo,
deficit financing,,isikweletu sikahulumeni,
demand,,imfunosidingo,
demand deposit,, imali engaboshiwe,
demerit goods,,izimpahla ezifenyisiwe/ezinogcobho,
depression,,inzikamnotho,
diminishing utility,,unemfu/ukwehla kokweneliseka,
direct investment,,utshalomali lokulawula/utshalomali lobungqoshishilizi,
direct selling,,ukuthengisela ngqo/ukudayisela ngqo,
discount,,Isaphulelo,
discount house,,isitolo samanani aphansi/sesaphulelo,
dismissal pay,,imali yokuxoshwa emsebenzini,
distribution,,ukusabalalisa,
division of labour,,ukwahlukaniswa kwemisebenzi ngokwamakhono/ukwabiwa kwemisebenzi ngokwamakhono,
domestic production,,umkhiqizo wezwe,
doomsday strike,,isiteleka esihlongozwayo,
door-to-door selling,,ukuthengisa/ukuthengisa uphuma ungena/ukudayisa ungena indlu ngendlu,
double counting,,iphutha elikubalakubili,
dumping,,ukudayisakulahla/ukudayisakutshinga,
duty,,intela eqoqwayo,
economic costs,, 1.izindleko zezomnotho 2. izindleko zebhizinisi,
economic development,,ukuthuthukiswa kwezomnotho,
economic efficiency,,ingcophelelo kwezomnotho,
economic geography,,ukuhlelwa kwezomnotho ngokwendawo,
economic goods,,impahla engandile enenani,
economic growth,,ukukhula kwezomnotho,
economic inefficiency,,ubudedengu kwezomnotho,
economic migrant or refugee,,isifikanamthwalo kwezomnotho,
economic problem,,inkinga kwezomnotho,
economic profit,,inzuzo kwezomnotho,
economic rent,,inzuzo/irenti kwezomnotho,
economics,,ezomnotho,
economic strike,,isiteleka samaholo/sezisebenzi,
economic welfare,,inhlalakahle kwezomnotho,
economic zone,,isizinda sezomnotho,
economise,,onga,
economism,,uhlelo lwezomnotho,
economist,,usomnotho/unomnotho,
economizer,,owongayo,
economy,,umnotho,
economy class,,igumbi likawonkewonke,
elasticity of demand,,ukuguquguquka kwentshisekelo (yabathengi),
