English Term;Amagama NgesiZulu;
abalone (n);imbaza/umnenke i-abhaloni;
abiotic (adj);okungakaze kuphile/ oku-abhayothikhi;
abyssal (adj);okwezinzulu zolwandle/okotwalwandle;
aepyornis (n);  i-ephiyonisi/indlovuzinyoni;
aerate (v);faka umoya;
aerobic (adj);okudinga i-oksijini;
aesthetic (adj);ubuhlekuhleleka kwemvelo;
agribusiness (n);uhwebolimo;
agricultural (adj);phathelene nezolimo;
agricultural land (n);umhlaba wezolimo;
agriculture (n);ezolimo;
agrobacterium tumefaciens (n);isidalazimila ezitshalweni/  i-agrobhakthiriyamu;
agrodiversity (n);inhlukwanondalo yezolimo /i-agrodayivesithi;
agroecology (n);i-ikholoji yezitshalo/i-agroyikholoji;
agroforestry (n);ezolimomahlathi/i-agroforestri;
albatross (n);inyoni i-albhathrosi;
alfalfa (n);isitshalo i-alfafa;
algae (n);ulwelwe/i-algi;
algae-eating (adj);isidlalwelwe;
alien (adj);okokufika/okwakwenye indawo;
alkaline (adj);1.       i-alkhalayini (ibizo)        2.   okune-alkhali (isichasiso);
allele (n);i-allele;
allergen (n);isidalasihlungu;
alligator (n);ingwenya yaseMelika naseshayina/i-aligeyitha;
allopatric (adj);okuyizifanakudalwa;
alpine (adj);insimamantabeni;
ammonia (n);i-amoniya;
ammonification (n);ukuguqulwa kwe amoniya;
amphibian (n);impilamanzini nasezweni;
anadromous (adj);okuyinzalelamfuleni;
anaerobic (adj);okungadingi i-oksijini;
anatomy (n);isayensi yomumokusebenza kwezitho zomzimba/i-anathomi;
anchovy (n);i-antshovi/usayidinsi;
anaemia (n);i-anemiya/igazi elibuhlumbuluzi;
anemone (n);imbali i-anemoni;
anopheles (n);umiyane woqhuqho/ i-anofelisi;
antarctica (n);i-antathikha/injiko yenkalankala;
antelope (n);inyamazane(umgankla/impofu njll.);
antenna (n);izimpondomizwa;
anthropogenic (adj);okuyisinukubalisi esikhiqizwa abantu;
anthropology (n);isayensi yemvelaphi nenhlalo yabantu;
antibiotic (n);isinqindamandla amagciwane/isidodobalisimandla amagciwane/i-antibhayothikhi;
antibody (n);isivikelamzimba/amasosha omzimba/isivimbelikugula;
antifungal (adj);isivimbelikukhunta;
