English Term;English Definition;IsiZulu Term;IsiZulu Definition
above the line costs;;izindlekongqangi;
 act;;inkundla/ukulingisa;
action;;isenzeko;
actor;;umlingisi;
adapt;;ukuguqulela;
adaptation;;isiguqelelo/insuselwakokunye;
aerial shot;;uthwebulomoyeni;
allegory;;isifanekiso;
alliteration;;ufanamsindo;
ambient light;;ukukhanya okuyimvusamizwelo/ukukhanya okuyimficwakhona;
ambient sound;;umsindo oyimvusamizwelo/umsindo oyimficwakhona;
angle;;i-engela/iyengela;
angle on;;ukugxilisa isithwebuli/ukugxilisa ikhamera;
animation;;ukuthunzelisa/i-animeyishini;
antagonist;;imbangi;
anti-climax;;ibohlolola/ipholavuthondaba;
anti-hero;;umlingiswa omkhulu ongaguquki;
aperture;;imbobosilawulikukhanya;
arc;;uhlelekokulandelana olunguqunguqu;
archetype;;inhlalakunjalo;
archive shot;;isithombe esilondoloziwe;
art department;;umnyango wezobuciko;
art director;;umqondisi wezobuciko;
artificial lighting;;ukukhanya kokwenziwa;
aside;;ingxoxo nezethameli;
aspect ratio;;isilinganiso sokuphakama nobubanzi besithombe;
assembly;;ingqalisakuhlela;
Automated Dialogue Replacement (ADR);;inkulumo eyimpindakuqoshwa;
asynchronous;;okuyimpumamgqeni/okungahambisani;
atmosphere;;uhlelosimo lwendawo;
audio;;umsindo/okuzwakalayo/okulalelwayo;
audio bridge;;isiwelisimsindo/izibukomsindo;
audition;;inhlolokhono;
audio advance;;umsindokwandulela/umsindonkambaphambili;
audio lead/synonym audio advance;;"umsindokwandulela
umsindonkambaphambili";
 auteur;;ingcwetimqondisi;
available light;;ukukhanya okukhona;
avant-garde;;inhlukalinge/i-avant-garde;
axis of action;;inkabamudwa yokulingisa;
B-Movie;;imuvi endlekozincane;
backdrop;;isithombesizinda;
background;;ingemuva lendawo;
background music;;umculo owesekayo;
 backlighting;;ukukhanya okungemuva;
back lot;;igceke lesitudyo;
back projection;;ukuthwebula ngesihenqo;
back story;;Insukaphi yendaba/umlando ngomdlalo/isimongqo ngomdlalo;
balance;;ukusebenzelana/ukudidiyeleka ;
barn doors;;izivalo ezipheqekayo zesilawulikukhanya;
beat;;isikhawu;
behind the scenes (BTS);;okungekho emehlweni ezibukeli/okungemuva kwesigcawu;
below the line costs;;izindlekomxhantela;
best boy;;umsizi kwezobuchwepheshe;
billing;;umsizi kwezobuchwepheshe;
biopic;; uhlumagama;
bit part;;ingxenyana engatheni/ingxenye encu;
black comedy;;ukuhlekisa ngento engahlekisi/isenamisi/inhlekisambumbulu/isenamisinhlekisa;
blacklisting;;ukufakwa ohlwinilubi;
blockbuster;;iwolanzuzo;
blocking a shot;;uqondisomumo;
blooper;;amaphutha ahlekisayo;
blow-up;;ukukhulisa isithombe;
blue screen;;isihenqo esiluhlaza;
body double;;ummelelimlingisi;
Bollywood;; iBollywood ;
Bookends;;uhlobanoziphetho;
boom mic;;isicoshimsindo sendukuselulo;
boom shot;;isithombe esithathwe ngendukuselulo;
boom stand;;isimisi sendukuselulo;
boom pole;;indukuselulo;
bootleg;;okomgunyathi/okungagunyaziwe;
bounce board;;isibuyisakukhanya;
bracketing;;impindakuthwebula;
breaking the fourth wall;;ukukhuluma nezethameli;
bridging shot;;isithombe esixhumaisayo;
8-roll;;isithombesisekelo/i8-roll;
budget;;isabelozimali/ibhajethi;
bumper;;ifilimusikhangiso/isthombesikhangiso;
butterfly;;isidambisikukhanya;
call sheet;;uhlelokusebenza losuku;
cameo;;izwibelakuvela;
camera;;isithwebuli/ikhamera;
camera angle;;umumokuthwebula/i-engela lokuthwebula/iyengela lokuthwebula;
camera crew;;ithimba labathwebuli;
camera movement;;umnyakazosithwebuli/umnyakazokhamera;
camera operator;;umthwebuli/usokhamera;
camera roll;;ibhande lokuthwebula;
capsule review;;isibuyekezosithombe;
caption;;umbhalongcaciso;
cash cow;;unomali/unondlini;
cast;;abalingisi;
catchlight;;isigqamimehlweni;
catchphrase;;ibinzanakuvelela;
catharisis;;inhlazamizwa;
cel;;isiqephumidwebo;
computer-generated imagery;;ukhiqizomifanekiso ngekhompyutha/i-CGI;
character;;umlingiswa;
character actor;;umlingisi wohlobomlingiswa;
character arc;;ukuguquka komlingiswa;
characterization;; ukubunjwa nokuvezwa kwabalingiswa;
character study;;ingqamisamlingiswa;
chiaroscuro;;inhlukanokukhanya;
chick flick;;ifilimu eyikhangasifazane/ifilimu eyintandwasifazane;
child actor;;umlingisi oseyingane;
chimera (soft box);;isidambisikukhanya esisabhokisi;
cineaste;;umthandimafilimu;
cinemascope;; imbukekokundlaleka/isinemaskophu;
cinematographer;;umthwebulimafilimu;
cinematography;;uthwebulomafilimu;
clamp;;ikilempu;
clapperboard;;ibhodimininingwane;
claymation;;ukuthunzelisa ngobumba/i-animeyishini yobumba;
cliffhanger;;umnkemiso/imbangakulangazelela  ;
climax;;uvuthondaba;
close-up;;isithombebuduze;
colour correction;;ukulungiswa kombala;
colour grading;;ukuhlelemba imibala;
colour temperature;;imibala ngokwamazingakushisa;
colourization;;uhlelokufaka umbala;
comic relief;;isidambisisimo;
coming-of-age film;;ifilimu yezigabakukhula;
command performance;;ukulingisa okuvelele;
composer;;umqambi/umsunguli;
compositon;;uhlelokwakheka;
concert film;;ifilimu yekhonsathi;
continuity;;inqubeko;
continuity editing;;ukuhlelwa kwenqubeko;
contrast;;inhlukokukhanya;
convention;;inhlalilindelekile;
coverage;;iqoqazithombe;
crane shot;;okuthwetshulwe ngekhreyini;
crawl;;umbhalokugaqa;
credits;;uhlumagama;
crew;;ithimba;
critics;;umhlaziyi/umcubunguli;
cross factor;; inkombamthelela yomehlukobukhulu;
cross-cutting;;ukuhlela okungxubezenzeko okunkathinye;
cross-fade;;ukufiphalisakugqamisa;
