English Terms;English Definition;IsiZulu Term;IsiZulu Definition 
"""*"" or ""%""";;"""*"" noma ""%”";
"""?"" or ""_""";;"""?"" noma ""_""";
"""<"" (less than)";;"""<"" kuncane kuno+";
"""<="" (less than or equal to)";;"""<=""(kuncane kuno noma kulingana no)";
"""<>"" (not equal to)";;"""<>"" (akulingani no)";
"""="" (equal)";;"""="" (kulingana)";
""">"" (greater than)";;""">"" (okukhulu kuno)";
""">="" (greater than or equal to)";;""">="" (kukhulu kuno kulingana no)";
.com;;.com;
.edu;;.edu;
.gov;;.gov;
.org;;.org;
absolute cell referencing;;inkombaseli engaguquki;
access (data/devices);;ukufinyelela /imvumekungena (imininingo /amadivayisi);
access control;;ukulawulwa kwemvumekungena/kokufinyelela;
accessibility;;ukufinyeleleka;
account;;ubulungukusebenzisa/ i-akhawunti;
active window;;iwindi elisasebenza;
address bar;;ibha yekheli;
adjacent (cells/rows/columns);;okuncikene (amaseli / amarowu / amakholomu);
adjacent (files);;okuncikene (amafayela);
adware;;umaqhibukisazikhangisi;
alias;;isimeleli;
align;;ukuqondanisa/ukuvumelanisa ukuhambisana;
allow;;ukuvumela;
and ;;futhi;
android (operating system);;i-androyidi (uhlelo lokusebenza);
anti-virus software;;[uhlelokusebenza lokukhipha amagciwane/ isikhiphamagciwane];
application store;;isigcinazisetshenziswa;
application;;isisetshenziswa;
arrow (image);;umcibisholo (isithombe);
assessment records;;amarekhodi okuhlola;
audio (file/clip);;okuzwakalayo (ifayela / isiqeshana);
authentication;;1. ukuqinisekisa 2. isiqiniseko;
author (website);;umbhali (isizindalwazi);
authorisation;;1. isigunyazo 2. ukugunyaza;
auto-complete;;ukuqedela okuzenzakalelayo;
auto-fill;;ukugcwalisa okuzenzakalelayo;
automatic out-of-office reply;;ukuphendula okuzenzakalelayo ungekho ehhovisi;
autosave;;ukulondoloza okuzenzakalelayo/ i-autosave;
availability (security);;ukutholakala (ukuphepha);
average;;isilinganisomvama/isilinganisomaphakathi / i-avereji;
backdoor;;umnyango ongemuva;
background;;isendlalela /inkambangemuva;
backlight;;isilekelelikukhanya/isibani sasemuva;
backup;;isipele/ umgcinwangxenye;
backwards ;;emuva /hlehla;
bar chart;;ishadimbundu;
battery;;ilahle/ ibhethri;
biometric;;ihlonzabuwena/ i-bhayomethrikhi;
bits per second (bps);;amabhithi ngesekhendi (i-bps);
blind carbon copy ;;i-imeyili ewumfuziselo ocashisiwe;
block pop-ups;;vimba oqhibu;
block (unknown/unwanted users);;vimba (abasebenzisi abangaziwa/abangafuneki)/ukuvimba;
block arrow;;umcibisholo wokuvimba;
blog;;ingosimbono/ ibhulogi;
bluetooth;;ibhluthuthi/ i-bluetooth;
blu-ray disc;;icwecwe/ irekhodi /i-blu-ray  ;
body (e-mail);;umzimba (i-imeyili);
bold (font);;okugqamile (i-fonti);
bookmark;;inkombakubekisa/ukubhukumaka;
botnet;;ibhothinethi/i-botnet;
briefcase (windows operating system);;isiphathimafayela;
browsing history;;umlandokuphequlula;
bullet list;;uhlu olunezinhlamvu;
cable lock;;isikhiyikhebuli/ikhebulisikhiye;
capture;;ukuqongelelakugcina;
carbon copy (email cc);;umfuziselo  osobala;
cell;;iseli/ibhokisana lokubhalela;
cell range;;ibanga leseli/ibanga lamabhokisana okubhalela;
character (symbol);;uphawu;
chart;;ishadi;
chat;;ingxoxo/ukuxoxa;
close (application);;ukuvala (isisetshenziswa);
close (tabs);;ukuvala (amathebhu);
cloud computing;;ubukhompyutha emkhathini;
collapse (window);;ukunciphisa (iwindi);
column (data);; ikholamu (imininingo);
column chart;;ishadikholamu;
comma separated values (csv);;imininingo ehlukaniswe ngokhefana (csv);
common productivity application;;isisetshenziswa sokukhiqiza esivamile;
compact disc (cd);; icwecwe/isidi (i-cd);
compress (zip);;gqisha (zip);
compressed file;;ifayela eligqishiwe;
concurrent access;;ukufinyelela kanyekanye;
confidentiality;;ubumfihlo;
configuration settings;;izinhlakwenza;
connect (network/service);;xhuma/ukuxhuma;
connection (network/service);;uxhumano;
contact;;oxhumana naye;
content;;okuqukethwe;
content communities;;imiphakathi yezinkundla zokuxhumana;
content-control;;ukulawula okuqukethwe;
cookie;;isigcinalwazana/ikhukhi;
copy (data);;ukukopisha;
copyright;;igunyabunikazi;
course (online learning);;isifundo(ukufunda nge-inthanethi);
