English Terms,English Definition,IsiZulu Term,IsiZulu Definition
Acceptance ,,Ukwamukela,
Accession,,ukuhlanganiswa,
"a) Accessory (Property)

b) Accessory (Criminal)            ( C) Accomplice,,""a)Ingxenyana"

"b)Umelekeleli sephulamthetho                                            (C) Umelekeleli ekwephuleni umthetho"","
"Accountability,,""a) Isibophokubika"
b) Isibophezelokubika  
"c) Ukumela izinqumo"","
Accused,,Ummangalelwa,
Acquittal,,Ukuthethwa icala/ukutholwa ungenacala,
 Actio legis aquilae*,,Isimangalo sesinxephezelo,
Actio in Personam,,Ukumangalela Umephulisivumelwano,
Adjective law ,,Umthethonqubo,
Adopt,,a) Ukuphasisa/Ukwamukela,
Adopt,,b) Ukukhulisa ingane engenambeki,
Advocate,,Ummeli wasemajajini/ u-advokhethi ,
Adultery ,,Ukuphinga,
Affinity ,,Ubuhlobo bokuganiselana/ubundeni,
Agreement ,,Isivumelwano ,
Agnostic,,Umphikimfihlakalo kaNkulunkulu,
Amicus curiae,,Umngani wenkantolo,
Animus revertendi,,Ukutholisela,
 Animo vicino nocendi,,Uphenyo ngokuhlukumezana komakhelwane,
Applicant,,ummangali,
Arbitrary,,okungenasisekelo,
Arbitration,,ukwahlulela/ukwehlulela,
"Arbitrator,,"" umehluleli, umxazululi,i-abhithreyitha."","
Articles of clerkship,,Ukuphothulela ubummeli,
Assent,,Ukusayinwa komthetho,
Associates (NLB),,asebenzisana nabo/ama-asosiyethi,
Atheism,,inkolelo engenabuNkulunkulu,
Attorney,,Ummeli,
Auction sale,,Indali,
Autonomy ,,Ukuzimela,
Banned,,Ukuvalwa ,
Bench ,,umahluleli wasemajajini/ abehluleli basemajajini,
Binding source,,Umthombo obophezelayo,
Brief,,Ukuqasha ummeli wasemajajini,
Cabinet,,Isigungu songqongqoshe kuzwelonke/ i-khabhinethi,
Candidate attorney,,Osaphothula ubumeli,
Case law,,Umbiko ngezinqumo zamacala,
Certainty,,Okuyisiqiniseko/okungangabazeki,
Chambers,,Amagumbi /Amahhovisi abammeli basemajajini,
Citation,,Inkombacala,
Civil court case,,icala eliphakathi kwabantu ababili/ icala lombango,
 Civil Marriage ,,umshado wesilungu,
"Civil Union,,""1. Ukushada kwababolili obufanayo"
2. Ukuganana kwabobulili obufanayo
"3. Ukuhlalisana kwabobulili obufanayo"","
Class action,,Isimangalo somphakathi/ isimangalo seningi,
Clerk,,Umabhalane,
Code of ethics,,Indlela  yokuziphatha,
Common law,,umthetho ongabhaliwe,
common law illegality in contract,,Ukwephulwa kwesivumelwano komthetho ongabhaliwe,
Competent court,,Inkantolo enegunya/Inkantolo enamandla,
Concur,,Ukuvumelana/ukuhambisana,
Consortium Omnis Vitae ,,ubudlelwane bezithandani ,
Constitution,,Umthethosisekelo,
Constitutional democracy,,Intando yeningi/yabantu ngokomthethosisekelo,
Contract,,isivumelwano esinesibophezelo/inkontileka,
Contract of lease,,isivumelwano sokuqashiselana,
Contract of sale,,isivumelwano sokudayiselana/sokuthengiselana,
Conveyancer,,Ummeli wezezindlu nezemihlaba/ikhoniveyensa,
Convictions of the community,,imigomo yomphakathi,
Counsel,,Ummeli wasemajajini,
Court a quo,,Inkantolo yokuqala,
Court case,,Icala elisenkantolo,
Court judgement,,Isinqumo senkantolo,
Court of appeal,,Inkantolo yokudlulisela amacala,
Court proceedings ,,Ukuqulwa kwecala,
Corporal Punishment,,Ukujezisa ngokushaya/isijeziso ngokushaya/ukujeziswa ngokushaya,
Credit ,,Isikweletu/isikweledu,
Credit ,,Ukufakela imali,
Criminal court case,,Icala Lobugebengu/icala lobulelesi/icala legazi,
Customary Marriage ,,Umshado wesintu,
Death penalty,,Isigwebo sentambo,
Date of hearing,,usuku  lwecala,
Date of judgement,,Usuku lwesinqumo secala/usuku lokwahlulela,
Debit ,,Ukudonsa imali ,
Debtor,,okweletayo/umkweleti,
Defamation,,Ukuthunaza/ukululaza/ukujivaza,
Defendant,,ummangalelwa (idifendenti),
Delivery,,a)   Ukunikeza / Ukuhambisa                                                                    b)   Ukukhipha isigwebo                                                                                                 ,
Democracy,,intando yeningi /idemokhrasi,
Democracy,,intando yabantu /idemokhrasi,
Deviate,,Ukuphambuka,
Dignity,,Isithunzi ,
Direct democracy,,Intandoyeningi-ngqo/intando yabantu ngqo,
Directors ,,Abaqondisi,
Discharge,,a) Feza                                                                                         b) okhishiwe/odedelliwe,
Disclaimer,,Ukuziqhelelanisa,
Discrepancy,,Ukushayisana,
Dishonoured Cheque,,Isheke elingakhokhelwe,
