English Terms;English Definition;IsiZulu Term;IsiZulu Definition 
abaxial;;imfulathelasiqu;
abduction;;ukudonsekela ngaphandle;
abiotic;;okungaphili;
ablation;;ususosicubu olungakhubazi;
abortion;;ukuhushula isisu/ukukhipha isisu;
abdomen;;inxasisu;
absorption;;ukumunca;
acellular;;okungenanhlayiya;
acclimatization;;ukuzijwayeza ubunjalondawo;
activation energy;;amandla okukhuthaza;
active immunity;;isivimbelakugula esisebenzayo;
active transport;;isihambisamsoco esidinga isikhuthazi;
adaptation;;injwayelandawo;
adduction;;ukudonsekela ngaphakathi;
adrenal gland;;indlala esensweni;
adventitious root;;impandemxhantela;
aerobic;;okudinga umoyampilo;
aerobic respiration  ;;isakhamandla esidinga  umoyampilo;
agar;;ulwelwe/okusaketshezi kwe-algi;
age distribution;;ukuhleleka ngobudala;
aggression;;indluzula/ indlakadla;
agribiology;;isifundo ngokudla kwezitshalo;
albinism;;inswelambala/ intulambala;
algal bloom;;ukwanda kolwelwe;
alimentary canal;;umgudu wokudla;
allele;;inhlayiya yolibofuzo;
allergen;;inqubulasihlungu/ i-alejeni;
alveolus;;isihlungamoya esisemaphashini;
amniotic sac;;1. umzanyana (umuntu) 2. umhlapho (isilwane);
anabolism;;ukwakheka kwezakhamzimba;
antibiotic;;isibulalimagciwane emzimbeni;
antibody;;isivikelamzimba;
antiretroviral drug;;isidodobalisimagciwane/isidambisamagciwane;
amino acids;;isakhimaphrotheyini;
amniotic egg;;iqanda elimbozwe ulwelwesi;
amniotic fluid;;ingcupho/uketshezi olwembozwe ulwelwesi;
anaerobic;;okungadingi umoyampilo;
anaerobic respiration;;isakhamandla esingadingi umoyampilo;
animal scientist;;usosayensi wezilwane;
anus;;umdidi/indunu/ingquza;
aorta;;umthambo omkhulu/ i-ayotha;
aquaculturist;;ungoti wezezinhlazi/ ogogode ngempilamanzini;
aquifer;;umkhumengo/ i-akhwifa;
artery;;umthambo wegazi elihlanzekile;
artificial selection;; ukuzakhela uhlobo;
asexual reproduction;;ukwanda kungahlanganangwa;
assimilation;;ukumunceka;
assortative mating;; ukukhwelanamvama;
assymetrical;;okungehlukaniseke kufane;
atrium;;ingenhla lenhliziyo;
autosome;;i-othozomi;
auxin;;isigqakukhulisazitshalo;
axon;;isithwalambiko;
aquatic;;okuphathelene namanzi;
aquatic biome  ;;ibhayomi yamanzi;
bacteriophage;;isibulalibhakthiriya;
ball-and-socket joint;;ilunga eliyingoxinguqu;
behavioral ecology;;isifundo senhlaliswanobudlelwano ngokuziphatha;
bilateral symmetry;;okuhlukana nxambili kufane;
binomial system;;uhlelokuqanjwa lwezilwane;
bioengineering;;ubunjiniyela bokuphilayo;
bioenergetics;;isifundo ngokuguqulwa kwamandla kokuphilayo;
biokineticist;;ungoti owelapha ngokuvocavocisa;
biokinetics;;isifundokwelapha ngokuvocavocisa;
biological control;;ukuzilawula kwemvelo;
biological vector;;isithwalimagciwane athathelanayo;
biome;;ibhayomi;
biosphere;;indawo yokuphilayo;
biotic;;okuphilayo;
binary fission;;ukwanda ngokuzicaza kabili;
blood;;igazi;
blood pressure;;umfutho wegazi;
bolus;;umthamomgwinyo;
bone;;ithambo;
botanist;;umcwaningizitshalo/ usozimila;
brain;;ubuchopho;
brain stem;; isikhonkosi;
bronchus;;ibhaxa lexhayi lomoya;
caesarean section;;ukubelethisa ngokuhlinza;
calorie;;isilinganisimandla ekudleni;
capillary;;umthanjana wegazi elihlanzekile;
carbohydrate;;isinikimandla;
carbon cycle;;umjikelezo/ umzungezo wekhabhoni;
carbon fixation;; ukuguqulwa kwekhaboni;
cardiac muscle;;isicubu senhliziyo/ imasela;
carnivore;;isidlanyama;
cartilage;;Uqwanga;
carrying capacity;;umthamokumumatha;
catabolism;;ukucubeka kwezakhamzimba;
catchment;;intelelamfula;
cell body;;ingxenyemuzwa enenhlayiya;
cell membrane;;untwentwesi lwenhlayiya;
cell theory;;injulalwazi ngezinhlayiya;
cell wall;;isembozanhlayiya;
cellulose;;isakhi sesembozanhlayiya;
cellular respiration;;ukukhiqizeka kwamandla enhlayiyeni;
centromere;;isibophakhromathidi;
cerebellum;;ubuchophosilawulizinzo/iserebhelamu;
cerebrum;;ubuchophosilawulizinzwa;
cervix;;umlomo wesibeletho;
chemical digestion;;ukugayeka kokudla ngamakhemikhali;
chemotherapy;;ukwelapha ngamakhemikhali/ikhimotheraphi;
chiasmus;;indawo yonikezelwanofuzo;
chromatid;;Ikhromathidi;
chromatin network;;isixhobo sesiqambala;
chromosomal mutations;;ukuguqulwa kwesithwalafuzo;
chromosome;;isithwalafuzo;
chime;;okungagayekanga kahle;
cilium;;okusanwele;
circulation ;;ukuzungeza;
classification  ;;ukwahlukaniswa  kwezinto ngokwamaqoqwana;
cleavage;;ukuhlukana kwenhlayiya;
climate;;isimo sezulu ngokwenkathi;
climax community;;ukuphazamiseka kwesimonhlalo;
codominance;;ukuvelela kofuzo;
codon;;ikhodoni;
commensalism;;ubudlelwanonxanye;
condensation;;ukujiya kokusamoya;
conditioning;;injwayezi;
cone;;ikhoni;
consumer;;okungazakhelikudla;
conservationist;;umgcinimvelo;
complete dominance;;okuvelela ngokuphelele;
community;;umphakathi;
coelom  ;;umzimbabikiza;
