;English Term;English Definition;IsiZulu Term;IsiZulu Definition
absolute pronoun;;isabizwana soqobo;
accessibility;;ukufinyeleleka;
accidence;;inguqukogama;
accusative;;okukamenziwa omkhulu/okukamenziwangqo;
acoustic feature;;uphawubunjalo lomsindo;
acoustic phonetics;;ufundomsindo ngezimpawubunjalo/isifundomisindo sezimpawubunjalo;
active voice;;inkulumo eqondile;
adjoin;;ukusondelanisa/ukuhambisana;
adjunct;;isengezo;
adnominal;;okwesichasiso;
adverb;;isandiso;
affect;;umqondothintwanomizwa;
affirmative;;okuvumayo;
affix;;isakhisifakelo;
affricate;;umfuthwambhangqwa/ubhamumfuthwa/iqedamfuthwa/i-afrikhethi;
agentive;;okukamenzi/okwebizokwenza/i-ajenthivu;
agglutinative language;;ulimi oluyinhlanganisazakhi;
agreement;;isivumelwano/ukuvumelana;
alethic;;okungephikiswe/i- alethikhi;
alienable;;okobudlelwanobunini;
allative;;isakhinkombamnyakazo /i-alathivu;
allomorph;;isimelasakhi/ingxenyesakhi/i-alomofu;
allophone;;isimelamsindoningi/i-alofoni;
alpha notion;;isakhiwonguqukokufana/i-alfanoshini;
alphabet;;uhla(u)zinhlamvubhalo/i-alfabhethi;
alternation;;isinikezelani/isishintshanisi /i-olthaneshini;
alveolar;;unsinini;
alveolo-palatal;;unsininilwangeni;
ambi-dental;;uzinyweni;
ambiguity;;;
anacoluthon;;;
analogy;;umqondombaxa;
analysable;;impelelandleleni/i-anakholuthoni;
analysis-by-synthesis;;isifanekiso/i-analoji;
analytic language;;okuhlaziyekayo;
anaphor;;ukuhlaziya ngokuhlela imiqondo;
anaphora;;ulimi oluhlaziyayo;
animate;;ibinzanasimeleli/i-anafo;
antecedent;;uhlelo lwebinzanasimeleli/;
anterior;; i-anafora;
anthropological linguistics;;okuphilayo;
anticipation;;isabizwanasichasiso;
anticipatory;;okungaphambili;
antonym;;ucwaningozilimi ngokwemvelaphibantu;
apex;;inhlabelaphambili;
application;;okuhlabelaphambili;
applied extension;;umqondophika;
applied linguistics ;;isihloko solimi;
apposition;;isimobudlelwano;
appropriate;;impambosi yokwenzela;
arbitrariness;;ucwaningozilimi olusetshenziswayo;
archiphoneme;;ukumelana;
area of linguistics;;okufanele;
argument;;inhlukanogamamqondo;
arrangement;;isukamsindo/i-akhifonimi;
article;;umkhakha wocwaningozilimi;
articulation;;amandlasenzo;
articulatory phonetics ;;ukuhleleka;
ascriptive;;i-athikili;
assimilation;;impimiso/ukuphimisa;
auditory phonetics ;;ufundomsindo nempimiso/isifundomisindo sempimiso;
base;;okuhlonzekayo;
behaviourism;;ukufaniseka;
bilabial;;ufundomsindo ngenzwakalo/isifundomsindo sokuzwakala;
bilingualism;;insukela;
borrowing ;;indlelakucabangakuziphatha;
bound morpheme;;undebembili;
bound pronoun;;ubulimimbili;
cardinal vowel;;ukuthekela/ukuboleka;
case;;isakhi esingazimeli/isakhi esinamathelayo;
citation form;;isabizwanaqoqa;
clause;;unkamisasisekelo;
clause-mate;;ubunyebudlelwanomagama;
cleft sentence;;igamangqangi;
cline;;umushwana;
code switching ;;imvumelwano yomushwana;
comparative linguistics;;umushominxa;
comparative method;;uhologomehluko/ikilayini;
competence;;ukuxuba izilimi;
compound;;ucwaningozilimi oluqhathanisayo;
concord;;indlelakwenza eqhathanisayo;
consonant;;ukwazi;
contact;;okungxube;
content words ;;isivumelwano;
context ;;ungwaqa;
contrast;;ukuxhumana;
contrastive;;amagama awumongo/amagama ayingqikithi;
