English Term;Amagama NgesiZulu;
abscissa;ivundla/ i-absisa;
absolute convergence;uchungechunge olunomkhawulo;
absolute error;iphutha lesilinganiso ;
absolute extrema;udepha ngci;
absolute maximum;udepha ngci omkhulu;
absolute minimum;udepha ngci omncane;
absolute value function;insizakusebenza yesilinganiso esingabhalwa luphawu;
absolute value;isilinganiso esingabhalwa luphawu ;
acceleration;ukunyusa isivinini;
acute angle;iyengelamcijo/iyengela elicijile;
addition;ukuhlanganisa;
adjacent side;uhlangothi oluseduze;
adjoint ;i-adjoyinti;
air resistance;ukuphikisa komoya;
algebra;indidiyelompawuzinhlamvu/ i-aljebhra;
algebraic expression;Izinombolozimpawumatemu zendidiyelompawuzinhlamvu/ izinombolozimpawumatemu ze-aljebhra;
algebraic function;insizakwenza yendidiyelompawuzinhlamvu / inkomba ye-aljebhra;
algebraic manipulation;Ukusetshenziswa kwendidiyelozimpawumatemu/ ukusetshenzwa kwe-aljebhra;
algebraic operation;Uphawukulawula lwendidiyelozimpawumatemu/uphawukulawula lwe-aljebhra;
alternate angles;amayengela aphikisanayo;
alternating series;uchungechunge oluphikisanayo;
amplitude;ukuphakama kwezwibeko;
analytic geometry;isifundo ngesiphambano sezinombolo;
angle of depression;iyengelakwehla;
angle of elevation;iyengelakwenyuka;
angle of inclination;iyengelakutsheka;
angle;iyengela;
annuity;inkokhelo elinganayo ngesikhathi esibekiwe;
antiderivative;ibuyiselanguquko;
anti-differentiation;uhlelokuthola ibuyiselanguquko;
arc;ucezusiyingi/ucezundingilizi;
arc length;ubude bocezusiyingi;
area;isendlalekondawo;
argument;unonguqu ozimele;
arithmetic;izibalo;
arithmetic mean;inanimaphakathi;
arithmetic median;imaphakathi;
arithmetic mode;imvelakaningi;
arithmetic series;uchungechunge olunefanamehluko;
array;uhlelongononina;
asymptote;isondelakungathinti;
automorphism;ukuzihlobanisa luqobo/i-othomofizimu;
auxiliary equation;umphumelasixazululo wesibalokulingana;
average value;ubungako besibalomaphakathi/ubungako besilinganisomaphakathi;
axis ;inkabamudwa;
base b exponential function;insizakusebenza yenombolomvelo/ifankshini yenombolomvelo;
base e;inombolokuvela;
bijection;umaqondananxazombili/ibhayijekshini;
binary digit;unambancanembili;
binary number;uziqumbili;
binary relation;ukuhlobana okuziqumbili;
binomial;unhlangothimbili;
binomial coefficient;ikhofishiyenti kanhlangothimbili;
binomial distribution;uhlelokusabalala okunhlangothimbili;
binomial expansion;unhlangothimbili owandisiwe;
boundary;umngcele;
boundary condition;umbandelamngcele;
boundary point;inombolomngcele;
bounded function;insizakusebenza evinjelwe;
bounded set;iqoqo elivinjelwe;
brackets;abakaki;
calculus;ikhalkhulasi;
