English Term;English Definition;IsiZulu Term;IsiZulu Definition
accumulation of refuse;;ukunqwabelana kwemfucuza;
activated sludge;;uhlelokuhlanza ubindi;
active extraction systems;;izinhlelo zokumunca isisi;
aeration;;ukusakazwa komquba;
aerobic;;okomoyampilo;
aerobic decomposition;;ukuvundangomoyampilo;
aerobic treatment;;imvikelabungozi ngokomoyampilo;
agricultural pollution;;ukungcolisa kwezezolimo;
agricultural waste;;imfucuza yezolimo;
air classification;;isihlunga ngomoya;
air injecting system;;uhlelokuvimbela ngomoya;
anaerobic ;;okungadingi umoyampilo;
anaerobic decomposition;;ukuvundisa ngaphandle komoyampilo;
aquifer;;idwala elikhipha amanzi;
ash;;umlotha;
backfill;;okugqiba ;
backyard Composting;;ukuvundisa ezaleni;
baling;;ukucabaya ibhele;
ballistic separator;;isihlukanisi sokuphilayo nokungaphili;
bearing capacity;;okukwazi ukuthwala;
berm ;;umqenqe;
best practice;;inkambisonhle;
bin liner;;ucwazi womgqomo;
binman;;umqoqimfucuza;
bioaccumulation;;ukunqwabelana kokuphilayo;
biodegradable ;;okugayekayo;
biogas ;;isisikuphilisa;
biological treatment;;uhlelo lokuhlanza ngokuphilayo;
BOD (Biochemical Oxygen Demand) ;;izingabungako lomoyampilo odingekayo;
bonfire;;ikloba/imbuthuma;
borehole ;;umgodimbholwa;
bring system;;uhlelokuhlukanisa imfucuza;
buffer Area;;indawomngcele;
building waste;;imfucuza yokwakha;
bulky waste;;imfucuza enkulu;
bund ;;unqenqemandunduma;
bylaws;;imithetho kaMasipala;
cap;;isembozo;
capacity building;;ukuthuthukiswa kwamakhono;
capital cost;;izindleko zokuqalisa umsebenzi;
carbon dioxide;;isikhutha;
cell ;;iseli eyemfucuza;
central collection point;;indawokuqoqela ;
centralised composting;;ukuvundisela ndawonye;
chemical treatment;;ukwelapha ngamakhemikhali;
civic amenity site (CA site) or household waste recycling centre (HWRC);;indawo yokulahla/ nokuvuselela imfucuzo;
cleaner production;;indlelakukhiqiza enciphisa ukungcola;
closure ;;ukuvala;
codisposal;;ukulahla okunxuma;
collection ;;ukuqoqa ;
collection frequency;;izikhawumvama zokuqoqa;
collection timing;;izikhathi zokuqoqa ;
collection vehicle;;isithuthi semfucuza;
collection/disposal interface;;umkhathi wokuqoqa nokulahla ;
combustibles;;okungavutha;
combustion ;;ukuvutha/ukusha;
commercial refuse;;imfucuza yamabhizinisi;
commercial waste ;;imfucuza yamabhizinisi;
commingled recyclables;;okungavuseleleka okuxubene;
comminution ;;ukugaya/ukucucuza imfucuza;
communal collection;;inqoqelandawonye;
community composting;;indlelakuvundisa yomphakathi;
compaction ;;ukugqishelanisa;
compaction station;;indawo yokugqishelanisa;
compactor;;isigqishelanisi;
compost ;;imvundela/imvundiso/imvundo;
composting;;ukuvundisa;
concession contract;;isivumelwano sokusebenzisana;
conservation;;ukongiwa kwemvelo;
construction and demolition debris;;imvithi (ukwakha nokubhidliza);
container ;;isiqukathi;
contaminant;;isinukubezi/isingcolisi;
contaminating life span;;isikhathibungako sesinukubezi/sesingcolisi;
controlled dump;;indawo elawulwayo yemfucuza ;
cover;;isembozo;
covering ;;ukumboza;
covering material;;okokumboza;
curbside collection;;inqoqelamfucuza;
dailies;;umaqoqwanjalo;
daily cover ;;imfucuzasembozo sansukuzonke;
decommissioning ;;ukumisa;
decompose ;;vundisa/bolisa;
decomposition ;;ukuvundisa/ukubolisa;
degradable;;okuvundayo;
deinking;;ukukhipha uinki;
demolition waste ;;imfucuza yokubhidliziwe/okudiliziwe;
design Capacity ;;ubungako obuhlonziwe;
detinning ;;ukuxebula ikopi;
digestion;;ukugaya;
disposal facility;;indawo yokulahla ekanyiwe;
disposal of waste;;ukulahlwa kwemfucuza;
disposal site;;indawo yokulahla;
diversion;;ukuphambukisela;
domestic refuse;;imfucuza yasemakhaya;
drop-off;;ukulethwa kwemfucuza;
drop-off centre;;isikhungo sokuletha imfucuza;
drum;;idramu;
dump/ dumping site;;isizinda sokulahla;
dumping ground  ;;indawo/inkundla yokulahla;
dumpster ;;isilahlimfucuza;
 dustman ;;umqoqimfucuza;
ecological waste management;;ukulawula imfucuza ngokubhekelela imvelo;
effluent;;ukusaketshezi/okugobhozayo okungcolile;
energy from waste (EFW) ;;amandlaakhiwangemfucuza;
environmental management inspector;; umhloli wozokuphathwa kwezemvelo;
e-waste;;imfucuza kagesi;
exposure ;;ukuba sengcupheni;
ferrous metal;;insimbi;
fill ;;ingqumbi;
fill area ;;indawo yengqumbi;
final cover;;isimbozo sokugcina;
flaring;;ukulwanguka;
flood plain;;ifenya;
fluorescent lamps;;ilambu lekhemikhali/ ilambu leflorisenti;
fly ash;;amagciwane;
footprint;;umthelelansalela;
garbage ;;imfucuza;
garden refuse;;imfucuza yegceke;
garden service;;abalungisa igceke;
gas collection system ;;uhlelo lokuqoqa isisi;
gas migration;;ukuhamba kwesisi ;
gasification ;;ukwakha isisi;
grass cycling;;imvundisatshani/ukuzisimamisa kotshani;
green waste ;;uhlazamfucuza ;
greenfield Site;;isiganga;
half life ;;impilosigamu;
haul route ;;umzila wokuthutha;
hazardous waste;;imfucuza enobungozi;
health care risk waste;;imfucuza yezezempilo enobungozi;
household waste;;izibi;
humus;;imvundiso;
illegal dumping;;ukulahla ngokungemthetho;
incineration ;;ukushiswa kwemfucuza;
industrial effluent;;okusaketshezi/ okugobhozayo okungcolile kwasezimbonini;
industrial refuse;;Imfucuza yasezimbonini;
industrial waste ;;imfucuza yasezimbonini;
inert waste;;1. imfucuza engaguquki/ engaboli  2. imfucuza engashi  3. imfucuza engenamuthelela omubi;
infectious waste;;imfucuza engaba negciwane elithathelanayo;
inorganic waste;;imfucuza yokungaphili;
institutional waste;;imfucuza yasezikhungweni;
integrated waste management;;ulawulo lwemfucuza oludidiyelwe;
invessel composting;;ukuvundisa ngokuxuba;
itinerant waste buyer;;umahambethenga imfucuza;
land clearing and inert debris (LCID);;ukucaba nemvithi engenabungozi;
land raising ;;uhlelembomfucuza;
land reclamation;;ukusetshenziswa kabusha komhlaba;
landfill ;;ingqibamfucuza;
landfill farming;;ezolimo engqibamfucuzeni;
landfill fire;;umlilo engqibamfucuzeni;
landfill gas;;isisi sengqibamfucuza;
landfilling ;;ukugqiba imfucuza;
lateral pipe;;ipayipi elivundlile;
lawful collection of waste;;ukuqoqwa kwemfucuza okusemthethweni;
lawful removal of waste;;ukususwa kwemfucuza okusemthethweni;
leachate ;;amanzi engqibamfucuza;
leachate collection system;;uhlelo lokuqoqwa kwamanzi engqibamfucuza;
leachate management;;ukulawulwa kwamanzi engqibamfucuza;
leachate pond;;ixhaphozana lamanzi engqibamfucuza;
leachate treatment;;ukuhlanzwa kwamazi engqibamfucuza;
level of service ;;izingakusebenza;
lift ;;ugqinsimfucuza;
linear ;;isithiyo;
liquid waste;;imfucuza esaketshezi;
litter;;izibi/udoti;
litter prevention;;ukugwema ukungcolisa ;
litter traps ;;isivimbadoti;
litterbug;;umatshinga/ umahambelahla;
littering ;;ukutshinga /ukulahla ;
long ranger transfer;;ukuthuthwa kwemfucuza esazodluliswa;
macrorouting;;imizila yokuthuthwa kwemfucuza;
magnetic separation;;ukuhlukanisa ngozibuthe;
manual landfill;;ukusetshenzwa kwengqibamfucuza ngezandla;
manual separation;;ukuhlukaniswa kwengqibamfucuza ngezandla;
marine debris;;imvithi yasolwandle;
market ;;imakethe/Indali;
market waste;;imfucuza yezimakethe;
mass burn system;;uhlelokushiswa kwenqwabamfucuza;
massburn;;ukushiswa kwenqwabamfucuza;
medical waste;;imfucuza yezokwelapha;
microorganism;;okuphilayo okuncu;
minimisation ;;ukunciphisa/ukwehlisa;
mining waste;;imfucuza yasezimayini;
mixed paper ;;amaphepha axubene;
mixed waste;;imfucuza exubene;
mixed waste processing;;uhlelokusetshenzwa kwemfucuza exubene;
modular incinerator;;imbawula yemfucuza;
monitoring ;;ukuhlola;
monofill;;ingqibamfucuza yohlobolunye;
municipal area;;indawo kamasipala;
municipal solid waste;;imfucuza kamasipala;
municipal wastewater(sewage) ;;amanzi angcolile kaMasipala;
natural liner;;ulwelwesisembozo ngokwemvelo;
natural recycling ;;ukusimamisa ngokwemvelo;
natural resources;;imithombo yemvelo;
night soil;;indle/itshelentaba;
nitrogenous waste;;imfucuza enenayithrojini;
nonbiodegradable ;;okungagayeki;
nonferrous metal;;okusansimbi;
nonhazardous ;;okungenabungozi;
nonrecyclable;;okungavuseleleki;
nonrenewable resources ;;imithombo engeke isasebenziseka;
nuisance;;uhlupho;
occupier;;umhlali;
odour control;;ukulawuliphunga;
offsite treatment of waste;;ukuhlanzwa kwemfucuza ngaphandle kwesizinda;
