English Term ;English Definition ;IsiZulu Equivalent;IsiZulu Definition
11th chord;;ingxubemanothi;
13th chord;;isixhamanothi;
first inversion;;impendukezelo yokuqala;
secondnd inversion;;impendukezelo yesibili;
third inversion;;impendukezelosithathu;
seventh chord;;isixhamanothi sesikhombisa;
nineth chord;;isixhamanothi sesshiyagalolunye;
abstract music;;umculokujula;
A cappella ;;umculomaphimbo/i-akhaphela;
accelerando ;;uphawunyusakushesha;
accent;;ukugcizelela;
Accidental;;inothiphutha/ inothimpazamo;
accompaniment;;impelekezelo;
Accordion;;i-akhodiyoni;
adagio ;;umnenso;
Aeolian mode;;isikhawumanothi seAyoliyeni;
African American spirituals;;umculo wokholo wama Afrika ase-Melika ;
Afropop;;i-afrophophu;
afrorock;;i-afrorokhi;
allargando;;uphawukunensa;
allegro ;;ngomdlandla;
allemande;;i-alamande;
alto;;indlela yesibili;
alto clef;;inkombanothi yendlela yesibili;
andante;;umnenso;
aria;;okuculwa ngoyedwa;
arpeggio;;isixhamanothi kuchaza;
arrange;;ukuhlela;
atonal;;okungenakhiye;
attaca;;ukuxhuma;
audio track;;umsindo oqoshiwe;
augmentation;;ukukhulisa;
augmented chord;;isixhamanothu esikhulisiwe;
augmented interval;;sikhawumsindo  esikhulisiwe;
aural;;okwekhonokuzwa ;
bar;;umgamu/ibha;
baritone ;;ibharithoni;
barline;;inhlukanisamgamu;
Baroque ;;iBharokhi;
bass;;ibhesi;
bass clef;;inkombanothi yebhesi;
bass drum;;isigubhu sebhesi;
bass guitar;;isigingci sebhesi;
basso continuo;;iqoqwana lezinsimbi zebhesi;
bassoon;;ibhasuni;
beat;;isigqi;
beat cushion;;isipamupamu;
bebop;;ibhibhophu;
berimbau  ;;ibherimbawu;
binary form;;isimomculo esiziqumbili;
breve;;inothi elizigqisishiyagalombili;
cadence;;isixhamanothikuphetha;
cadenza;;ikhadenza;
canon ;;ukungenakulandelana;
cantabile ;;ukushayasakucula;
cantata;;ikhantatha;
Cape Town jazz;;Ijezi yaseKapa;
capriccio ;;ikhaphrishiyo;
castrato ;;umthenwa;
cavatina ;;ikhavathina;
cello;;ivayolini enkulu;
chant ;;indlela kucula;
choir;;ikwaya;
timbila;;imbila yabaTshopi;
choral ;;okwamakwaya;
chorale ;;isihlabelelo;
chorale prelude;;isihlabo ;
