English Term,English Definition,IsiZulu Term,IsiZulu Definition
abdomen ,,isisu/ingxasisu,
abnormalities ,,1.ukukhubazeka 2.ukuthikamezeka,
abscess,,ithumba,
ache,,ubuhlungu,
acne ,,1.izinduna 2.ikhambi,
adequate ,,okwenele/ okwanele,
adherence,,ukulandela imiyalelo/ imigomo ,
adolescence ,,ububhungu/ubutshitshi,
agent ,,isiguquli (isiguqulisimo),
age specific rate,,izingabungako ngokweminyaka yokuzalwa,
age specific death rate,,izingabungako labafayo ngokweminyaka yokuzalwa,
aggregate ,,iqoqomvama,
a high risk population,,abasengcupheni enkulu,
albinism ,,ubuswelabala/ubushawa/ubu-albhino,
alcoholism ,,ubudakwa,
alkaline ,,i-alikhalayini,
alienate ,,ukuhlukanisa,
allergen ,,isidalasihlungu,
antigen,,idalasihlungu,
antibody,,isivimbasihlungu,
ambulant ,,ozihambelayo/  esizihambelayo,
analgesia,,okuqeda izinhlungu/ okudambisizinhlungu,
analgesic/analgesics ,,iziqedazinhlungu/ izidambisizinhlungu,
analogous ,,okuhlobene,
anorexia,,isifo sokuzizacisa,
anorexia nervosa,,isifo sokuzizacisa,
bulimia nervosa,,isifo sokudla uziphalazise ,
an incident rate,,isilinganisozinga sezehlakalo ,
a population risk,,ubungcuphe kubantu ,
a risk population,,abasengcupheni,
appendectomy ,,ukususa umsila kapopopo/ukususa isithumbu/ ukususa i-aphendikisi,
a rate,,isilinganisozinga/ izingabungako,
acceptable,,okwamukelekile,
accountability ,,isibophokubika/ukumela izinqumo,
airborne ,,isithwalwamoya ,
arthritis ,,isifo samathambo (esivuvukalisa amalunga)/ i-athrayithisi ,
artificial ,,okufakiwe/ okungemvelo,
assessment ,,ukuhlola/ukuqoqa ulwazi ,
asthmatic  ,,onesifuba somoya/onombefu,
attack rate ,,isilinganisozinga sokuhlaseleka,
autopsy ,,ukuhlolwa kwesidumbu,
awareness ,,ukuqaphelisa ,
bacteria ,,igciwane/ibhakthiriya,
bedpan ,,ingqovela / isigcozi / isikigi,
behavior ,,ukuziphatha,
birth certificate,,isitifiketi sokuzalwa,
birth control ,,ukuhlela umndeni,
bladder ,,isinye,
scabbies ,,utwayi / ukhwekhwe / imbuzibeyishuka,
calcium,,ikhalisiyamu,
capsule ,,iphilisi eliwumtshumo / iphilisi elisegobolondweni,
carbohydrate ,,isikhuthazimandla / ikhabhohayidirethi,
cardiac ,,okuphathelene nenhliziyo,
cardiac sphinter,,umavulavale ekuqaleni kwesisu,
cardiovascular disease ,,isifo senhliziyo nesemithambo yegazi,
carrier ,,ongadlulisela isifo/umdluliselasifo,
case fatality ,,asebebulewe isifo,
case fatality rate (cfr),,isilinganisozinga sasebebulewe isifo  ,
cause specific rate,,isilinganisozinga sembangelakufa,
census ,,ukubalwa kwabantu,
change agent ,,oletha uguquko,
change of  partner/s ,,ukushintsha obambisene naye/nabo,
chicken pox,,ingxibongo/ upokisi,
child abuse,,ukuhlukunyezwa kwezingane,
child-headed household,,ikhaya eliphethwe yizingane,
cholera ,,isihudo/ikholera,
cholesterol ,,okusamafutha egazini/ izinga lokusamafutha  egazini/ ikholesteroli,
chronic (disease),,1.isifo esiwundendende 2.isifo esingalapheki,
chronic hepatitis,,isifo esiwundendende sokuvuvuka kwesibindi,
circumcision ,,ukusoka,
circumstances ,,izimo ,
climatic change ,,ukuguquka kwesimo sezulu/ukuguquka komumo wezulu,
clinicians ,,abezempilo,
clitoridectomy ,,ukusokwa kwabesifazane,
clitoris ,,umsunu/ ubhontshisi,
cluster of diseases,,ukuhlobana kwezifo eziwumbhedukane  ,
cohabiting family,,umasihlalisane/ ukukipita,
cohort study ,,iqembu labacwaningwa,
coitus ,,ukulalana/ukuya ocansini  ,
common source ,,umthombo ofanayo/ isizinda esifanayo/ umsuka ofanayo,
communicable disease ,,isifo esithathelanayo/ esithelelanayo,
community,,umphakathi ,
community assessment,,ukuhlolwa komphakathi,
community diagnosis,,ukuhlonzwa kwezifo zomphakathi,
community health ,,impilo yomphakathi,
community health strength ,,izinsiza ezibhekele impilo yomphakathi,
community nurse ,,umhlengikazi osebenza emphakathini,
community sub-system assessment ,,uhlolohlelo lwempilo yomphakathi,
compliance ,,ukuhambisana nemigomo ,
composite data base analysis,,ukuhlaziywa kolwazi oluqoqiwe,
comprehensive assessment ,,ukuhlola okubanzi okudidiyelwe ,
condom ,,ijazi lezocansi/ikhondomu,
confidentiality ,,imfihlo/ isifuba ,
conjunctivitis ,,uphenyane ,
constipation ,,ukuqumbelana / ukusongelana/ ukuqunjelwa,
contact ,,ukuthintana nothelelekile,
contamination ,,ukutheleleka ngobuthi,
contraception ,,ukuvimbela ukukhulelwa/ ukugwema ukukhulelwa,
convalescence ,,ukululama,
coordination ,,1.ukubambisana/ukusebenzisana/ukusizana 2.ukudidiyela,
coronary ,,okuphathelene nemithambo yenhliziyo ,
counseling ,,ukwelulekwa ngokwengqondo,
counts ,,amanani/izibalo,
crabs ,,izintwala zengulube,
criminal offence ,,icala lobugebengu,
criterion ,,isimisongqangi ,
crude mortality rate,,isilinganisozinga sokufa kwabantu,
cum ,,isidoda /imbewu yowesilisa,
cunnilingus ,,ukukhotha  isitho sangasese sowesifazane ,
cunt, pussy ,,inkomo/ isitho sangasese sowesifazane ,
cystitis ,,ukuvuvukala kwesinye,
data collection ,,ukuqoqwa kolwazi,
data gathering ,,ukuqoqa ulwazi,
data generation ,,ukusungulwa kolwazi,
day care,,ukunakekelwa/ ukuqashelwa kwabantu emini,
defecation ,,ukuzikhulula/ukukaka/ukubhosha,
defensive ,,okokuvikela  ,
deficiency ,,ukusweleka /ukungeneli /ukushoda ,
dehydration ,,ukuphelelwa amanzi emzimbeni ,
depo-provera,,umjovo wokuhlela/ idepho,
depression ,,ingcindezi yengqondo,
descriptive observed theory ,,injulalwazi yokucacisa ngokuqaphela,
detection ,,ukuhlonza,
determinant ,,inkombamthelela ,
diabetes mellitus ,,isifo sikashukela,
diapering ,,ukunabukelisa/ ukusubela/ ukushubela ,
diarrhea ,,uhudo/ ukuhanjiswa yisisu/ukukhishwa yisisu,
dick ,,induku/isitho sangasese sowesilisa,
directly observed therapy,,uhlelo lokwelashwa uqashelwe ngqo/ i-dot,
dignity ,,isithunzi ,
disposable ,,isisetshenziswa kanye  ,
district ,,isifunda,
diuretics ,,isikhamamanzi ,
dosage ,,isilinganiso somuthi,
ectopic pregnancy ,,ukukhulelwa okungekho esibelethweni / ukukhulelwa emashubhini  ,
ejaculate ,,ukuthunda,
