English Term;Amagama NgesiZulu;
acceleration;ukunyusa isivinini;
absolute;ongenaluphawu;
absorb;-munca;
abstract;okusemcabangweni/okungebambeke/okungephatheke;
accuracy;ukunemba;
acid;i-esidi;
acoustic;okomsindo;
acute angle; iyengelamcijo;
add;engeza/-hlanganisa;
adhesion;unamathelo;
adiabatic;okungasathathikushisa/okuyisivimbakushisa;
algebra;i-aljebhra;
alpha particle;umsebe i-alfa/umsebe wehiliyamu;
alternate;-nikezelana;
altitude;ibangakuphakama ngaphezu kolwandle;
ammeter;i-amitha;
amorphous;okungenasimo;
amplitude;ukuphakama/ububanzi bezwibeko;
analogy;imfaniswanosenzeko/isifaniso;
analysis;isihlaziyo;
anion;i-aniyoni;
annihilate;-bhubhisa/-shabalalisaula/-qothula;
anode;i-anodi;
antinode;i-antinodi;
antiphase;umehlukozigaba;
antiproton;i-antiphrothoni;
antithesis;umqondompikiswano;
aperture;intutshana/imbotshana (yokukhanya);
apparent;okusobala/okucacile;
application;ukusebenzisa;
approximation;ukusondezelela/isikalekiso;
area;isilinganisomklamo/i-eriya;
arithmetic;izibalo /okusebenza ngezinombolo/ insebenzozinombolo;
assume;-cabangela;
astronomy;ezomkhathi;
atmosphere;umkhathimpilo/i-athmosfiye;
atom;i-athomi;
attenuate;-nciphisa umfutho/-thena amandla;
attraction;ibuthe;
audible;okuzwakalayo;
aurora;ukusa/ ukuntwela;
average;isilinganisophakathi/isibalomaphakathi;
axiom;umbonokudepha/umbonongqo/umbonongqala;
ballistic;okwesayensiyokuciba;
baryon;ibhariyoni;
base;ibheyisi;
basic;okwebheyisi/okwe-alkhalini;
beam;umsebe/isixhamsebe;
beta particle;umsebe ibhitha;
binary;okwenziwe ngokubili/okuhambisana ngakubili;
biosphere;ibhayosfiye;
bisect;-hlukanisa kabili;
boil;-bilisa;
boson;ibhozoni;
buoyancy;amandla okuntantiswa;
calorimeter;ikhalorimitha;
capacity;umkhawulomthamo/umkhawulommumatho;
cathode;ikhathodi;
cation;ikhethayoni;
centre;imaphakathi/inkaba/ isenta;
centrifugal; okuyisisabalalisi esikhiphayo;
centripetal;okuwumdonselamaphakathi;
charge;ishaji;
chromatic;okombala;
circle;indingilizi;
circuit;isekhethi;
circumference;unqenqemalwendingilizi/isiyingi;
classify;-hlukanisa ngamaqoqo/ -hlukanisangezigaba;
coefficient;ikhofishiyenti;
coherence;ukuhambisana/ukuhlangana;
coil;ukhoyela;
collision;ukushayisana/ ukungqubuzana;
combination;inhlanganisela;
complement (of a set);ikhomplimenti;
complementary angle; amayengela akha iyengelangqo;
complex;inkimbinkimbi;
complex number;inombolo eyinkimbinkimbi;
component;ingxenyesakhiwo;
compression;ukucinanisa;
concave;igobelaphakathi/iqumbelaphakathi;
concept;umqondomsuka;
condensation;inguqukomhwamuko;
condition;isimo;
conductor;isidlulikushisa/isidlulisagesi;
cone;ikhoni;
configuration;ukuhlela;
conservation;ukongiwa;
constant;okungaguquki;
constraint;okuphazamisayo/okunqindayo;
constructive;okwakhayo;
contact;-thinta;
convective;ukugelezisa ukushisa/ okushwezisa ukushisa;
converge;ukuhlangana;
convert;-guqula;
convex;igobelaphandle/iqumbelaphandle;
co-ordinate;inombolondawobukhona;
core;umongo;
cosmology;Isifundomkhathi/isayensi yomlandomkhathi/;
cosmos;inhlelekomkhathi;
covalent; ukwabelana ngama-elekhthroni;
