English Term;English Definition;IsiZulu Term;IsiZulu Definition 
abstract;;iqoqa;
abstract concept;;umqondongqangi weqoqa;
academic research;;ucwaningo lwemfundo ephakeme/ucwaningo oluhlelekile/ukucwaninga ngokobusayensi;
acculturation;;imfuziselo;
accuracy;;ishayamhlolweni/umnembo;
acknowledgement  ;;amazwi okubonga;
action theory (sociology);;injulalwazi/insizakuhlaziya/ithiyori yensebenzolwazi;
actual performance;;ushayakhona;
affective measures ;;izilinganisibunjalo;
aggregate;;inhlanganiselakulinganisa/isambakulinganisa;
alpha level ;;izinga i-alpha;
alternative hypothesis;;ihayiphothesisi engenye indlela;
analogy;;isifanekiso;
analyses of categorical data;;uhlaziyomininingo ngokwezigaba;
analytic–synthetic distinction;;inhlukwanokuhlaziya nokuhleleka komqondo;
anonymity;;ingubezelwa;
anonymizing data;;ukugubezela imininingo;
anova (f-test);;i-anova;
appendices;;izithasiselo;
appendix;;isithasiselo;
applied research;;ucwaningosisombululo;
approval;;isiqinisekiso;
area of interest;;ihlonzwacwaningo;
argument;;umbonobufakazi/isizathubuqiniso;
assumption;;ingcabangelo;
background;;1. isendlalelo  2. imuva;
basic research;;ucwaningongqo;
behaviour patterns;;izindlelakuziphatha;
beliefs;;izinkolelo;
benchmarking;;ukulinganisa iqophelo;
bias;;ukuchema;
bibliography;;imithombo yolwazi;
blind design;;okocwaningo olugutshezelwe;
budget;;1. isabelomali/uhlahlomali  2. izindleko zocwaningo;
case study;;ucwaningo ngokuthile/ucwaningonto;
cases;;okucwaningwayo;
categorical distribution;;ukwaba ngezigaba;
categorical perception;;ukucabangela ngezigaba;
causal models;;insuselakuyo;
channelling bias;;impoqakuchema;
chi-square analysis ;;uhlaziyo ikhayiskwe;
chronology bias;;ukuchema ngokomlando;
citation bias;;1. ukushicilela okuchemile  2. ukucaphuna ngokuchemile;
claim ;;umbonobufakazi/isizathubuqiniso;
classification errors;;amaphutha ahlukahlukanisiwe ezimpendulo;
close out;;ukusonga/ukuphothula ;
closed-ended question;;umbuzo ovalekile;
cluster ;;iqoqo;
cluster analysis ;;ukuhlaziya ngokweqoqo;
code of ethics;;imithethonqubo;
codebook;;incwadi yomthethonqubo;
coding;;ukuhlelwa kolwazi ngezigatshana;
coding errors;;amaphutha ekuhlelweni kolwazi ngezigatshana;
cognitive factors;;okuphathelene nengqondo;
cohen's kappa;;indlelakubala ngokuka-cohen/ i-kappa ngokuka-cohen;
colloquial language;;ulimi olungacophelele;
comparative research;;ucwaningo oluqhathanisayo;
competing proposal;;izihlongozocwaningo ezincintisanayo ;
conceptual analysis;;inhlaziyomiqondomsuka;
conceptual explication;;incazelomiqondomsuka;
conceptual frameworks;;imiqondolisu;
conclusive research;;ucwaningo oluphelele;
concrete concepts;;imiqondongqangi/umqondo omqoka;
concurrent validity;;ukuhambisana kwemiphumela/imvumelwanomiphumela;
confidentiality;;ubumfihlo;
confirmation bias;;ubumsulwa bokungachemi;
conformability objectivity ;;imbonangasolinye;
confounding;;impazamisalucwaningo;
conjecture;;umbono ontengayo/isiphetho esintengayo;
conjoint analysis;;inhlaziyobumqoka;
connotation;;umqondosithathiselo;
consent;;imvume;
construct ;;incazelokuzakhela;
construct validity ;;incazelokuzakhela eqinisekisiwe;
constructive;;okukwakhayo;
consumer research;;ucwaningo ngabathengi/ucwaningo ngabasebenzisi;
content analysis;;uhlaziyongqikithi;
context sensitivity ;;ukuhlonipha isimo;
contextualization ;;ukubeka esimweni;
contingency tables;;isilinganisamiphumela;
control quality;;ukulawula izingabunjalo;
controlled experiment ;;inhlolomphumela elawuliwe/ilinge elilawuliwe/ilingacwaningo elilawuliwe;
convenience methods;;ukwenza ngokukuvumelayo;
convenience sampling ;;ukuqoka okuvumelana nawe/ ukuqoka ngokungakhethi;
core concepts;;imiqondomsuka/imiqondongqangi;
correlation;;ubudlelwano;
covert observation;;indlela yokucwaninga ngokuzifihla ;
covert research;;ucwaningo olufihlekile;
credibility ;;ukuthembeka;
critical theory ;;injulalwazi ehlaziyayo;
data;;imininingo;
data analysis ;;ukuhlaziya imininingo;
data collection;;ukuqoqwa kwemininingo;
data collection instrumentation;;izinsizakuqoqa imininingo;
data editing;;ukuhlela imininingo;
data interpretation;;ukuhunyushwa kwemininingo;
data mining ;;ukuhlwaya imininingo;
data presentation;;ukwethula imininingo;
data processing;;ukusetshenzwa kwemininingo;
data recording;;ukuqoshwa kwemininingo;
data sources;;iminyombo yemininingo;
declaration;;isifungo;
dedication;;isethulo/umnikelo;
deductive approach;;insukelakhona;
delimitation;;umklamo wocwaningo;
denotative definition;;incazelo yomqondongqo;
dependability ;;ukuncika/ukweyama;
dependent variables;;okuguquguqukayo okuncikile/ivariyebhuli engazimele;
depth research;;ucwaningonzulu;
descriptive ethics;;inqubonhle echazayo;
descriptive hypotheses;;imibono engakafakazelwa echazayo;
descriptive research;;ucwaningo oluchazayo;
descriptive statistics;;izibalomidanti ezichazayo;
diathesis–stress model;;imodeli yendlelakuziphatha/imodeli idayathesisi stresi;
directional hypotheses;;imicabango engakafakazelwa eyinkomba;
discourse analysis;;uhlaziyongxoxo olunzulu/olunobuchwepheshe;
discourse community ;;abacwaningi;
discrete variables;;amavariyebhuli azimele;
document analysis;;uhlaziyomibhalo;
duplicate work;;1. izindlelakusebenza eziphindekile 2. umsebenzi ophindeke ngokufanayo/umfuziselo;
dynamic causal modelling;;isibonisisizathu esiguquguqukayo/uhlelokusebenza i-dcm;
dynamics;;iziguquguquli;
elements of a research;;iziqa zocwaningo;
eliminating extraneous variables;;ukususwa kwamavariyebhuli engadingeki nocwaningo;
ellipsis;;ukweqiwa kwamagama;
emancipatory research ;;ucwaningo oluthuthukisayo/oluphuculayo;
empirical;;okubambekayo;
empirical data;;imininingo ebambekayo;
empirical evidence;;ubufakazi obubambekayo/obunesisindo;
empirical questions;;imibuzongqangi/imibuzo edinga ubufakazi obubambekayo;
empirical research ;;ucwaningo olubambekayo/lokuwuphaqa;
endowment;;isibonelelo socwaningo;
epistemic criterion;;izinsiza zokuqinisekisa ulwazi;
estimate;;isilinganiso;
ethical clearance;;imvume yenqubonhle;
ethical issues;;okuphathelene nenqubonhle;
ethical issues in data collection;;ekuqoqweni kwemininingo;
