English Term ;English Definition ;IsiZulu Equivalent;IsiZulu Definition
academic ;;emkhakheni wezemfundo;
african traditional religion;;inkolo yendabuko yamaafrika;
afrocentric;;umbono ngokweafrika;
agriculture;;ezolimo;
agrotat;;isivivinyo esikhethekile;
analyse ;;ukuhlaziya;
anthropology ;;isifundo ngomphakathi wesintu;
applicable ;;ukusebenza ;
archaeology ;;imivubukulo;
aspects;;izici;
asserts;;kugomela;
assessment ;;ukuhlolwa;
assignment ;;izabelo;
backwardness;;ukuba semuva;
biological anthropology ;;ukwakheka komphakathi wesintu ngokomzimba;
biology ;;isifundo sezinto eziphilayo;
case study;;ugcwaningo lwesigameko;
centuries;;ikhulu;
characteristic;;isici;
charms;;izintelezi;
civilisation;;impucuzeko;
climate change;;ukuguquka kwesimo sezulu;
concepts ;;imiqondo;
connotes;;sisho;
constitutes;;lwakha;
consumption;;ukusetshenziswa;
contemporary;;owayephila ngesikhathi;
context;;umongo;
context;;umongo;
continent;;izwekazi;
costs;;izindleko / amanani;
course ;;uqeqesho;
coursework;;umsebenzi woqeqesho;
culmination;;umvuthwandaba;
cultural anthropology ;;ukwakheka komphakathi wesintu ngamasiko;
debating self;;ukuziphikisa komuntu siqu;
deceptively;;ngobuqili;
deity;;ubunkulunkulu;
descent;;uzalo;
determine;;ukunquma;
dialect;;isigodi;
discourse ;;ezinkulumweni;
disparities;;ukungalingani;
distinctive ;;okwehlukanisa;
distribution;;ukusatshalaliswa;
diviner;;umbhuli;
dna;;amanqamuzana;
domains;;izizinda;
ecology;;ezemvelo;
economic status ;;ukuma ngokwezomnotho;
essay;;indabambhalo;
ethnicity;;imvelaphi;
ethnography;;isifundo esihleliwe sabantu kanye namasiko;
eurocentric;;umbono ngokweyurophu;
evolution;;ukuziphendukela kwemvelo;
exorcism;;ukuxhosha ama demoni;
explore;;ukuhlola;
familial;;ngofuzo;
flamboyant;;ukubukisa;
founders ;;abasunguli;
functionalism;;okusebenzayo;
genealogies;;uhlu lozalo;
global;;imbulunga yonke;
granary;;inqolobane yokusanhlamvu;
guide ;;iziqondiso;
handbook;;incwadi enikezelwayo;
historical ;;ezomlando;
holistic ;;ephelele;
human beings;;izidalwa ezingabantu;
identity;;ukwaziwa komuntu;
illusive;;ize;
inferior ;;izinga eliphansi;
interdisciplinary;;imikhakha eyahlukene ;
journal;;iphephabhuku;
key ;;umgogodla / eyinhloko;
kinship;;isibopho sobuhlobo;
lecturer ;;umfundisi;
library ;;umtapo wolwazi;
linguistic anthropology ;;nokwakheka komphakathi wesintu ngezilimi;
mainstream;;kuqhakanjiswe;
material ;;nsiza kufundisa;
matrilineage;;uzalo ngohlu lowesifazane;
missionaries;;abavangeli;
norms;;izinkambiso;
notion;;ukuqonda;
oracle;;umprofethi;
outline ;;uhlaka;
paganism;;ubuqaba;
participants ;;abahlanganyeli;
patrilineages;;uzalo ngohlu lowesilisa;
perspective;;ngombono;
plagiarism ;;ukusebenzisa umqondo womunye ;
policy;;inqubomgomo/imthethomgomo;
political economy;;ezembusazwe zomnotho;
polygamy;;isithembu;
prejudice;;ubandlululo;
prerequisite ;;imfuneko;
prestige;;isithunzi;
primitivism;;ukuba isidala ;
processed;;inqubo;
production ;;ukukhiqiza;
proximity;;ukusondelana;
race;;uhlanga;
racist;;ukucwasa;
referencing ;;izikhombo;
regulations ;;imithethonqubo;
relevance ;;ukuqondana;
research ;;ugcwaningo;
resources ;;izinsiza;
rules ;; imithetho;
semester ;; ingxenye yonyaka;
sense of self;;umuzwa wokuzihlonipha;
social stratification;;amazinga ezenhlalo;
supernatural;;amandla anagphezu kwavamile emvelo;
supplement;;isivivinyo esengeziwe;
supreme being;;umvelinqanga;
system;;uhlelo;
technical;;ezobucwepheshe;
tendency;;ukuthambekela;
terminology ;;amatemu;
termites;;umuhlwa;
terms;;imibandela;
theory ;;imiqondo ecatshangelwe;
traders;;abahwebi;
traits ;;imfanelo / izici;
transcendent ;;okungenakungatshazwa;
tribe;;isizwana;
tribes;;ubuzwe;
tribes ;;izizwana;
tutorials;;amakilasi amancane/amakilasi okubonisana;
values ;;izimiso zokuziphatha;
