English Term ;English Definition ;IsiZulu Equivalent;IsiZulu Definition
absolute poverty;ukuhlupheka okwedlulele/ububha/ubuphofu ;;
acceptance;ukwamukela;;
;;;
accessibility;ukufinyeleleka/ ukutholakala ;;
acknowledgement;1.     ukwamukela/ukuvuma;;
;2.     ukuqaphela;;
;3.     amazwi okubonga;;
active listening;ukulalela ngokutshengisa/ngokukhombisa;;
activist;isishoshovu/isishabasheki;;
adapt ;ukujwayelanisa;;
adjust;ukuhambisana nesimo;;
adopt;ukuthola igunyabuzali;;
advise;ukululeka ;;
advisory board;ibhodi elelulekayo;;
advocacy;ukumela;;
affinity;ukuzwelana;;
African agency;ukuzenzela kwama-Afrika;;
African consciousness;ukuqondisisa ngobu-Afrika;;
African value system;uhlelo lwesimisompilo lwama-Afrika;;
African-centered paradigm ;ukubuka umhlaba ngendlela yama-Afrika;;
afrocentricity;ukubuka umhlaba ngendlela yama-Afrika;;
agency;1.     isikhungo ;;
;2.     ukukwazi ukuzenzela izinqumo;;
anticipation ;ukulangazelela/ukulindela;;
anti-oppressive practice (AOP);umkhakha olwa nengcindezelo;;
anxiety;ixhala;;
apathy ;ukungabi nantshisekelo;;
approach;indlelakwenza;;
assessment;ukuhlola ulwazi oluqoqiwe;;
at-risk;okusengcupheni;;
attachment theory;injulalwazi yozwano/yokunamathelana;;
auxiliary social worker;umsizi kasonhlalakahle;;
behavioral theory;injulalwazi ngokuziphatha;;
beneficence;isenzo esihle;;
bias;ukuchema;;
bio-psychosocial ;okwenhlalongqondomzimba;;
blind spot;okucashile/okusesithe;;
boundary;umngcele;;
brainstorming;ukuphonsa imibono/ukunikezelana ngemibono;;
broker;umxhumanisi;;
broker role;iqhaza lomxhumanisi;;
bureaucracy;indlelakubusa emazingazinga;;
burnout;ukukhandleka ;;
capacity;amandlakwenza;;
capacity building;ukuhlomisa ngamandlakwenza;;
care;ukunakekela;;
care for the aged;ukunakekela abadala;;
caregiver;umnakekeli;;
case advocacy;ukumela odabeni;;
case discussion;ukubonisana/ ukuxoxisana ngodaba;;
case management;ukusingathwa kodaba;;
case record;umlando ngodaba/ irekhodi lodaba;;
case study;ucwaningo ngokuthile/ucwaningonto;;
caseload;umthamo womsebenzi;;
casework;udaba lomuntu ngamunye;;
casework process;izigaba zodaba lomuntu ngamunye;;
catharsis;ukukhululeka emoyeni;;
centralisation;ukuzindisa;;
challenge ;inselelo;;
change agent;umlethinguquko;;
characteristic;inkombabunjalo ;;
charity;Isisa;;
child;ingane;;
child abuse;ukuhlukumeza izingane;;
child advocacy;ukumela izingane;;
child and family care;ukunakekela izingane nomndeni;;
child care;ukunakekela izingane;;
child in need of care;ingane edinga ukunakekelwa;;
child justice;ubulungiswa kwezezingane;;
child minder;umzanyana;;
child neglect;ukunganakwa kwezingane;;
child prostitution;ukudayisa ngomzimba kwezingane;;
child protection;ukuvikelwa kwezingane;;
child protection register;umqulu wezingane ezivikelwayo;;
child rearing;ukukhulisa izingane;;
child socialization;indlela izingane ezikhuliswa ngayo;;
child welfare;inhlalakahle yezingane;;
children’s court;inkantolo yezingane;;
children’s home;ikhaya lezingane;;
chronically ill person;onesifo esiyisimbelambela ;;
citizenship;ubuzwe;;
civil rights;amalungelo omphakathi;;
clarification  ;ukucacisa;;
class ;isigaba sempilo;;
classism;ukucwasana ngokwezigaba zempilo;;
client;osizwayo/umlekelelwa;;
client centered approach ;indlelakwenza eqhakambisa osizwayo/umlekelelwa;;
client system;ubunjalo bosizwayo /bomlekelelwa;;
clinical social work;ezenhlalakahle zoluleko olujulile;;
closed system;uhlelo oluvalekile ;;
closure;isiphetho;;
cluster sampling;ukuqoka ngokweqoqo;;
code of ethics;imigomonqubonhle;;
co-dependant;abadingene/abancikene;;
coexist;ukuphilelana;;
cognition;inqubokucabanga;;
